"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.141844","0.0104157","0.141844","05/02/23 13:08:20 +141844000 ns","0.141844","01 1D 05 03 08 31 0C 03 EA","<= Static status reply","","","","1D","","","","","","","",""
"2","0.264856","0.00218767","0.112596","05/02/23 13:08:20 +264856000 ns","0.264856","01 06","ACK <=","","","","","","","","","","","",""
"3","0.353494","0.0104167","0.0864503","05/02/23 13:08:20 +353494000 ns","0.353494","01 1D 05 03 08 31 0C 03 EA","<= Static status reply","","","","1D","","","","","","","",""
"4","0.368077","0.00677067","0.00416633","05/02/23 13:08:20 +368077000 ns","0.368077","01 2E 03 18 00 CA","<= Event 1 Status reply","18 00","","","2E","","","","","","","",""
"5","0.547651","0.00218667","0.172803","05/02/23 13:08:20 +547651000 ns","0.547651","01 06","ACK <=","","","","","","","","","","","",""
"6","0.552025","0.0104107","0.00218733","05/02/23 13:08:20 +552025000 ns","0.552025","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","","","","1F","","","","","","","",""
"7","0.67701","0.00218767","0.114574","05/02/23 13:08:20 +677010000 ns","0.67701","01 06","ACK <=","","","","","","","","","","","",""
"8","0.766169","0.0104167","0.0869713","05/02/23 13:08:20 +766169000 ns","0.766169","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","","","","1F","","","","","","","",""
"9","0.78419","0.00718667","0.00760433","05/02/23 13:08:20 +784190000 ns","0.78419","01 20 03 18 00 C4","<= Event 1 Status reply","18 00","","","20","","","","","","","",""
"10","0.955743","0.00218667","0.164366","05/02/23 13:08:20 +955743000 ns","0.955743","01 06","ACK <=","","","","","","","","","","","",""
"11","0.964701","0.0104097","0.00677133","05/02/23 13:08:20 +964701000 ns","0.964701","01 11 05 03 08 31 0C 03 E6","<= Static status reply","","","","11","","","","","","","",""
"12","1.09479","0.00218667","0.119679","05/02/23 13:08:21 +94790000 ns","1.09479","01 06","ACK <=","","","","","","","","","","","",""
"13","1.17698","0.0104097","0.0799993","05/02/23 13:08:21 +176976000 ns","1.176976","01 11 05 03 08 31 0C 03 E6","<= Static status reply","","","","11","","","","","","","",""
"14","1.19155","0.00677067","0.00416633","05/02/23 13:08:21 +191552000 ns","1.191552","01 22 03 18 00 C6","<= Event 1 Status reply","18 00","","","22","","","","","","","",""
"15","1.36779","0.00218767","0.16947","05/02/23 13:08:21 +367793000 ns","1.367793","01 06","ACK <=","","","","","","","","","","","",""
"16","1.37821","0.0102087","0.00822833","05/02/23 13:08:21 +378209000 ns","1.378209","01 13 05 03 08 31 0C 03 E4","<= Static status reply","","","","13","","","","","","","",""
"17","1.55174","0.00218767","0.163317","05/02/23 13:08:21 +551735000 ns","1.551735","01 06","ACK <=","","","","","","","","","","","",""
"18","1.56069","0.0102087","0.00677033","05/02/23 13:08:21 +560693000 ns","1.560693","01 14 05 03 08 31 0C 03 E3","<= Static status reply","","","","14","","","","","","","",""
"19","1.68964","0.00218767","0.118741","05/02/23 13:08:21 +689643000 ns","1.689643","01 06","ACK <=","","","","","","","","","","","",""
"20","1.77151","0.0105207","0.0796793","05/02/23 13:08:21 +771510000 ns","1.77151","01 14 05 03 08 31 0C 03 E3","<= Static status reply","","","","14","","","","","","","",""
"21","1.7862","0.00677067","0.00416633","05/02/23 13:08:21 +786197000 ns","1.786197","01 25 03 18 00 C1","<= Event 1 Status reply","18 00","","","25","","","","","","","",""
"22","1.80526","0.00218767","0.0122913","05/02/23 13:08:21 +805259000 ns","1.805259","01 06","ACK <=","","","","","","","","","","","",""
"23","1.9416","0.0105207","0.134151","05/02/23 13:08:21 +941598000 ns","1.941598","01 16 05 03 08 31 0C 03 E1","<= Static status reply","","","","16","","","","","","","",""
"24","2.06482","0.00218767","0.1127","05/02/23 13:08:22 +64819000 ns","2.064819","01 06","ACK <=","","","","","","","","","","","",""
"25","2.15346","0.0103117","0.0864503","05/02/23 13:08:22 +153457000 ns","2.153457","01 16 05 03 08 31 0C 03 E1","<= Static status reply","","","","16","","","","","","","",""
"26","2.16856","0.00677067","0.00479233","05/02/23 13:08:22 +168561000 ns","2.168561","01 27 03 18 00 C3","<= Event 1 Status reply","18 00","","","27","","","","","","","",""
"27","2.34698","0.00218767","0.17165","05/02/23 13:08:22 +346982000 ns","2.346982","01 06","ACK <=","","","","","","","","","","","",""
"28","2.35125","0.0105207","0.00208333","05/02/23 13:08:22 +351253000 ns","2.351253","01 18 05 03 08 31 0C 03 EF","<= Static status reply","","","","18","","","","","","","",""
"29","2.47635","0.00260467","0.114574","05/02/23 13:08:22 +476348000 ns","2.476348","01 06","ACK <=","","","","","","","","","","","",""
"30","2.56551","0.0103127","0.0865543","05/02/23 13:08:22 +565507000 ns","2.565507","01 18 05 03 08 31 0C 03 EF","<= Static status reply","","","","18","","","","","","","",""
"31","2.58394","0.00677067","0.00812433","05/02/23 13:08:22 +583944000 ns","2.583944","01 29 03 18 00 CD","<= Event 1 Status reply","18 00","","","29","","","","","","","",""
"32","2.75644","0.00218767","0.16572","05/02/23 13:08:22 +756435000 ns","2.756435","01 06","ACK <=","","","","","","","","","","","",""
"33","2.76539","0.0102087","0.00676333","05/02/23 13:08:22 +765386000 ns","2.765386","01 1A 05 03 08 31 0C 03 ED","<= Static status reply","","","","1A","","","","","","","",""
"34","2.89454","0.00229167","0.118949","05/02/23 13:08:22 +894544000 ns","2.894544","01 06","ACK <=","","","","","","","","","","","",""
"35","2.97672","0.0102077","0.0798883","05/02/23 13:08:22 +976724000 ns","2.976724","01 1A 05 03 08 31 0C 03 ED","<= Static status reply","","","","1A","","","","","","","",""
"36","2.99131","0.00708367","0.00437533","05/02/23 13:08:22 +991307000 ns","2.991307","01 2B 03 18 00 CF","<= Event 1 Status reply","18 00","","","2B","","","","","","","",""
"37","3.16849","0.00218767","0.170094","05/02/23 13:08:23 +168485000 ns","3.168485","01 06","ACK <=","","","","","","","","","","","",""
"38","3.17807","0.0104107","0.00739533","05/02/23 13:08:23 +178068000 ns","3.178068","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","","","","1C","","","","","","","",""
"39","3.35982","0.00218767","0.171344","05/02/23 13:08:23 +359823000 ns","3.359823","01 06","ACK <=","","","","","","","","","","","",""
"40","3.36409","0.0104167","0.00208333","05/02/23 13:08:23 +364094000 ns","3.364094","01 1D 05 03 08 31 0C 03 EA","<= Static status reply","","","","1D","","","","","","","",""
"41","3.4895","0.00218767","0.114991","05/02/23 13:08:23 +489502000 ns","3.489502","01 06","ACK <=","","","","","","","","","","","",""
"42","3.57877","0.0103117","0.0870753","05/02/23 13:08:23 +578765000 ns","3.578765","01 1D 05 03 08 31 0C 03 EA","<= Static status reply","","","","1D","","","","","","","",""
"43","3.59679","0.00718067","0.00770833","05/02/23 13:08:23 +596785000 ns","3.596785","01 2E 03 18 00 CA","<= Event 1 Status reply","18 00","","","2E","","","","","","","",""
"44","3.61928","0.00218767","0.0153123","05/02/23 13:08:23 +619278000 ns","3.619278","01 06","ACK <=","","","","","","","","","","","",""
"45","3.75687","0.0106247","0.135408","05/02/23 13:08:23 +756874000 ns","3.756874","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","","","","1F","","","","","","","",""
"46","3.88041","0.00218667","0.112908","05/02/23 13:08:23 +880407000 ns","3.880407","01 06","ACK <=","","","","","","","","","","","",""
"47","3.96894","0.0103127","0.0863463","05/02/23 13:08:23 +968940000 ns","3.96894","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","","","","1F","","","","","","","",""
"48","3.98352","0.00718767","0.00427033","05/02/23 13:08:23 +983523000 ns","3.983523","01 20 03 18 00 C4","<= Event 1 Status reply","18 00","","","20","","","","","","","",""
"49","4.1632","0.00218767","0.172484","05/02/23 13:08:24 +163195000 ns","4.163195","01 06","ACK <=","","","","","","","","","","","",""
"50","4.16757","0.0102077","0.00218733","05/02/23 13:08:24 +167570000 ns","4.16757","01 11 05 03 08 31 0C 03 E6","<= Static status reply","","","","11","","","","","","","",""
"51","4.29287","0.00218667","0.115096","05/02/23 13:08:24 +292874000 ns","4.292874","01 06","ACK <=","","","","","","","","","","","",""
"52","4.38151","0.0102087","0.0864503","05/02/23 13:08:24 +381511000 ns","4.381511","01 11 05 03 08 31 0C 03 E6","<= Static status reply","","","","11","","","","","","","",""
"53","4.40005","0.00718667","0.00833333","05/02/23 13:08:24 +400053000 ns","4.400053","01 22 03 18 00 C6","<= Event 1 Status reply","18 00","","","22","","","","","","","",""
"54","4.57254","0.00218767","0.165297","05/02/23 13:08:24 +572537000 ns","4.572537","01 06","ACK <=","","","","","","","","","","","",""
"55","4.5816","0.0105207","0.00687433","05/02/23 13:08:24 +581599000 ns","4.581599","01 13 05 03 08 31 0C 03 E4","<= Static status reply","","","","13","","","","","","","",""
"56","4.71045","0.00218667","0.118325","05/02/23 13:08:24 +710445000 ns","4.710445","01 06","ACK <=","","","","","","","","","","","",""
"57","4.79877","0.0104167","0.0861383","05/02/23 13:08:24 +798770000 ns","4.79877","01 13 05 03 08 31 0C 03 E4","<= Static status reply","","","","13","","","","","","","",""
"58","4.817","0.00677067","0.00781233","05/02/23 13:08:24 +816999000 ns","4.816999","01 24 03 18 00 C0","<= Event 1 Status reply","18 00","","","24","","","","","","","",""
"59","4.9297","0.00677067","0.105929","05/02/23 13:08:24 +929699000 ns","4.929699","01 25 03 99 00 40","<= Event 1 Status reply","99 00","Emergency Open","","25","","","","","","","",""
"60","4.94595","0.00718767","0.00947833","05/02/23 13:08:24 +945948000 ns","4.945948","01 26 03 81 00 5B","<= Event 1 Status reply","81 00","Emergency Open","","26","","","","","","","",""
"61","4.96887","0.00218067","0.0157293","05/02/23 13:08:24 +968865000 ns","4.968865","01 06","ACK <=","","","","","","","","","","","",""
"62","5.10687","0.0105207","0.135824","05/02/23 13:08:25 +106870000 ns","5.10687","01 17 05 03 08 31 0C 03 E0","<= Static status reply","","","","17","","","","","","","",""
"63","5.12875","0.00218767","0.0113543","05/02/23 13:08:25 +128745000 ns","5.128745","01 06","ACK <=","","","","","","","","","","","",""
"64","5.29477","0.00218667","0.163838","05/02/23 13:08:25 +294771000 ns","5.294771","01 06","ACK <=","","","","","","","","","","","",""
"65","5.30342","0.00802067","0.00645833","05/02/23 13:08:25 +303416000 ns","5.303416","01 28 03 08 31 00 D5","<= Event 1 Status reply","01 00","Emergency Open","","28","","","","","","","",""
"66","5.42476","0.00218767","0.113325","05/02/23 13:08:25 +424762000 ns","5.424762","01 06","ACK <=","","","","","","","","","","","",""
"67","5.51142","0.00833267","0.0844713","05/02/23 13:08:25 +511421000 ns","5.511421","01 28 03 08 31 00 D5","<= Event 1 Status reply","01 00","Emergency Open","","28","","","","","","","",""
"68","5.62443","0.0109377","0.104679","05/02/23 13:08:25 +624433000 ns","5.624433","01 19 05 03 08 31 0C 03 EE","<= Static status reply","","","","19","","","","","","","",""
"69","5.75422","0.00218767","0.118845","05/02/23 13:08:25 +754216000 ns","5.754216","01 06","ACK <=","","","","","","","","","","","",""
"70","5.76474","0.00812467","0.00833333","05/02/23 13:08:25 +764737000 ns","5.764737","01 2A 03 08 31 00 D7","<= Event 1 Status reply","01 00","Emergency Open","","2A","","","","","","","",""
"71","5.93555","0.00249967","0.162692","05/02/23 13:08:25 +935554000 ns","5.935554","01 06","ACK <=","","","","","","","","","","","",""
"72","5.94514","0.0104167","0.00708333","05/02/23 13:08:25 +945137000 ns","5.945137","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","","","","1B","","","","","","","",""
"73","6.07534","0.00218767","0.119783","05/02/23 13:08:26 +75337000 ns","6.075337","01 06","ACK <=","","","","","","","","","","","",""
"74","6.15429","0.0106257","0.0767623","05/02/23 13:08:26 +154287000 ns","6.154287","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","","","","1B","","","","","","","",""
"75","6.16866","0.00843767","0.00374933","05/02/23 13:08:26 +168662000 ns","6.168662","01 2C 03 08 31 00 D1","<= Event 1 Status reply","01 00","Emergency Open","","2C","","","","","","","",""
"76","6.33979","0.00218767","0.162692","05/02/23 13:08:26 +339792000 ns","6.339792","01 06","ACK <=","","","","","","","","","","","",""
"77","6.34896","0.0106247","0.00697933","05/02/23 13:08:26 +348959000 ns","6.348959","01 1D 05 03 08 31 0C 03 EA","<= Static status reply","","","","1D","","","","","","","",""
"78","6.52728","0.00218767","0.167698","05/02/23 13:08:26 +527282000 ns","6.527282","01 06","ACK <=","","","","","","","","","","","",""
"79","6.53707","0.0104097","0.00760433","05/02/23 13:08:26 +537074000 ns","6.537074","01 1E 05 03 08 31 0C 03 E9","<= Static status reply","","","","1E","","","","","","","",""
"80","6.65977","0.00218767","0.112283","05/02/23 13:08:26 +659767000 ns","6.659767","01 06","ACK <=","","","","","","","","","","","",""
"81","6.74529","0.0106247","0.0833323","05/02/23 13:08:26 +745287000 ns","6.745287","01 1E 05 03 08 31 0C 03 E9","<= Static status reply","","","","1E","","","","","","","",""
"82","6.76268","0.00833267","0.00676433","05/02/23 13:08:26 +762676000 ns","6.762676","01 2F 03 08 31 00 D2","<= Event 1 Status reply","01 00","Emergency Open","","2F","","","","","","","",""
"83","6.78559","0.00218767","0.0145833","05/02/23 13:08:26 +785592000 ns","6.785592","01 06","ACK <=","","","","","","","","","","","",""
"84","6.81882","0.00947967","0.0310403","05/02/23 13:08:26 +818820000 ns","6.81882","01 10 05 03 09 0C 03 EF","<= Static status reply","","","","10","","","","","","","",""
"85","6.9936","0.00218767","0.165296","05/02/23 13:08:26 +993596000 ns","6.993596","01 06","ACK <=","","","","","","","","","","","",""
"86","7.00328","0.00916667","0.00749933","05/02/23 13:08:27 +3283000 ns","7.003283","01 11 05 03 09 0C 03 EE","<= Static status reply","","","","11","","","","","","","",""
"87","7.07703","0.00260367","0.0645763","05/02/23 13:08:27 +77026000 ns","7.077026","01 06","ACK <=","","","","","","","","","","","",""
"88","7.08567","0.00833367","0.00604133","05/02/23 13:08:27 +85671000 ns","7.085671","01 22 03 08 31 00 DF","<= Event 1 Status reply","01 00","Emergency Open","","22","","","","","","","",""
"89","7.20879","0.00218767","0.114783","05/02/23 13:08:27 +208788000 ns","7.208788","01 06","ACK <=","","","","","","","","","","","",""
"90","7.2917","0.00833267","0.0807213","05/02/23 13:08:27 +291697000 ns","7.291697","01 22 03 08 31 00 DF","<= Event 1 Status reply","01 00","Emergency Open","","22","","","","","","","",""
"91","7.40554","0.00937467","0.105512","05/02/23 13:08:27 +405542000 ns","7.405542","01 13 05 03 09 0C 03 EC","<= Static status reply","","","","13","","","","","","","",""
"92","7.52783","0.00218767","0.112908","05/02/23 13:08:27 +527825000 ns","7.527825","01 06","ACK <=","","","","","","","","","","","",""
"93","7.53689","0.00822867","0.00687533","05/02/23 13:08:27 +536888000 ns","7.536888","01 24 03 08 31 00 D9","<= Event 1 Status reply","01 00","Emergency Open","","24","","","","","","","",""
"94","7.7075","0.00218767","0.16238","05/02/23 13:08:27 +707497000 ns","7.707497","01 06","ACK <=","","","","","","","","","","","",""
"95","7.71666","0.00937467","0.00697833","05/02/23 13:08:27 +716663000 ns","7.716663","01 15 05 03 09 0C 03 EA","<= Static status reply","","","","15","","","","","","","",""
"96","7.79624","0.00218767","0.0702073","05/02/23 13:08:27 +796245000 ns","7.796245","01 06","ACK <=","","","","","","","","","","","",""
"97","7.80656","0.00801367","0.00812533","05/02/23 13:08:27 +806558000 ns","7.806558","01 26 03 08 31 00 DB","<= Event 1 Status reply","01 00","Emergency Open","","26","","","","","","","",""
"98","7.92873","0.00218767","0.114158","05/02/23 13:08:27 +928730000 ns","7.92873","01 06","ACK <=","","","","","","","","","","","",""
"99","8.01529","0.00822267","0.0843733","05/02/23 13:08:28 +15291000 ns","8.015291","01 26 03 08 31 00 DB","<= Event 1 Status reply","01 00","Emergency Open","","26","","","","","","","",""
"100","8.12913","0.00916667","0.105616","05/02/23 13:08:28 +129130000 ns","8.12913","01 17 05 03 09 0C 03 E8","<= Static status reply","","","","17","","","","","","","",""
"101","8.25214","0.00218667","0.113846","05/02/23 13:08:28 +252143000 ns","8.252143","01 06","ACK <=","","","","","","","","","","","",""
"102","8.26079","0.00843767","0.00645833","05/02/23 13:08:28 +260788000 ns","8.260788","01 28 03 08 31 00 D5","<= Event 1 Status reply","01 00","Emergency Open","","28","","","","","","","",""
"103","8.43869","0.00218767","0.169463","05/02/23 13:08:28 +438689000 ns","8.438689","01 06","ACK <=","","","","","","","","","","","",""
"104","8.44983","0.0104167","0.00895733","05/02/23 13:08:28 +449834000 ns","8.449834","01 19 05 03 08 31 0C 03 EE","<= Static status reply","","","","19","","","","","","","",""
"105","8.62337","0.00218667","0.163116","05/02/23 13:08:28 +623367000 ns","8.623367","01 06","ACK <=","","","","","","","","","","","",""
"106","8.63243","0.0104167","0.00687533","05/02/23 13:08:28 +632429000 ns","8.632429","01 1A 05 03 08 31 0C 03 ED","<= Static status reply","","","","1A","","","","","","","",""
"107","8.76106","0.00239567","0.118214","05/02/23 13:08:28 +761060000 ns","8.76106","01 06","ACK <=","","","","","","","","","","","",""
"108","8.84293","0.0106247","0.0794773","05/02/23 13:08:28 +842933000 ns","8.842933","01 1A 05 03 08 31 0C 03 ED","<= Static status reply","","","","1A","","","","","","","",""
"109","8.85772","0.00791667","0.00416033","05/02/23 13:08:28 +857718000 ns","8.857718","01 2B 03 08 31 00 D6","<= Event 1 Status reply","01 00","Emergency Open","","2B","","","","","","","",""
"110","8.87657","0.00218767","0.0109373","05/02/23 13:08:28 +876572000 ns","8.876572","01 06","ACK <=","","","","","","","","","","","",""
"111","8.91636","0.0108337","0.0376033","05/02/23 13:08:28 +916363000 ns","8.916363","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","","","","1C","","","","","","","",""
"112","9.04021","0.00218667","0.113012","05/02/23 13:08:29 +40209000 ns","9.040209","01 06","ACK <=","","","","","","","","","","","",""
"113","9.12843","0.0105207","0.0860343","05/02/23 13:08:29 +128430000 ns","9.12843","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","","","","1C","","","","","","","",""
"114","9.14249","0.00802067","0.00354133","05/02/23 13:08:29 +142492000 ns","9.142492","01 2D 03 08 31 00 D0","<= Event 1 Status reply","01 00","Emergency Open","","2D","","","","","","","",""
"115","9.31539","0.00218767","0.16488","05/02/23 13:08:29 +315393000 ns","9.315393","01 06","ACK <=","","","","","","","","","","","",""
"116","9.32456","0.0103127","0.00697833","05/02/23 13:08:29 +324559000 ns","9.324559","01 1E 05 03 08 31 0C 03 E9","<= Static status reply","","","","1E","","","","","","","",""
"117","9.50142","0.00229167","0.166546","05/02/23 13:08:29 +501418000 ns","9.501418","01 06","ACK <=","","","","","","","","","","","",""
"118","9.51111","0.0103117","0.00739633","05/02/23 13:08:29 +511106000 ns","9.511106","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","","","","1F","","","","","","","",""
"119","9.63224","0.00218767","0.110825","05/02/23 13:08:29 +632243000 ns","9.632243","01 06","ACK <=","","","","","","","","","","","",""
"120","9.71921","0.0106247","0.0847833","05/02/23 13:08:29 +719214000 ns","9.719214","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","","","","1F","","","","","","","",""
"121","9.73661","0.00833267","0.00677133","05/02/23 13:08:29 +736610000 ns","9.73661","01 20 03 08 31 00 DD","<= Event 1 Status reply","01 00","Emergency Open","","20","","","","","","","",""
"122","9.75963","0.00218767","0.0146873","05/02/23 13:08:29 +759630000 ns","9.75963","01 06","ACK <=","","","","","","","","","","","",""
"123","9.80077","0.0103057","0.0389573","05/02/23 13:08:29 +800775000 ns","9.800775","01 11 05 03 08 31 0C 03 E6","<= Static status reply","","","","11","","","","","","","",""
"124","9.98201","0.00218767","0.170928","05/02/23 13:08:29 +982009000 ns","9.982009","01 06","ACK <=","","","","","","","","","","","",""
"125","9.98597","0.00833367","0.00177033","05/02/23 13:08:29 +985967000 ns","9.985967","01 22 03 08 31 00 DF","<= Event 1 Status reply","01 00","Emergency Open","","22","","","","","","","",""
"126","10.1843","0.00218767","0.189983","05/02/23 13:08:30 +184284000 ns","10.18428","01 06","ACK <=","","","","","","","","","","","",""
"127","10.1939","0.0104167","0.00739533","05/02/23 13:08:30 +193867000 ns","10.19387","01 13 05 03 08 31 0C 03 E4","<= Static status reply","","","","13","","","","","","","",""
"128","10.3208","0.00229167","0.116554","05/02/23 13:08:30 +320838000 ns","10.32084","01 06","ACK <=","","","","","","","","","","","",""
"129","10.4025","0.0106247","0.0793673","05/02/23 13:08:30 +402497000 ns","10.4025","01 13 05 03 08 31 0C 03 E4","<= Static status reply","","","","13","","","","","","","",""
"130","10.4175","0.00822967","0.00437433","05/02/23 13:08:30 +417496000 ns","10.4175","01 24 03 08 31 00 D9","<= Event 1 Status reply","01 00","Emergency Open","","24","","","","","","","",""
"131","10.4367","0.00218767","0.0109303","05/02/23 13:08:30 +436656000 ns","10.43666","01 06","ACK <=","","","","","","","","","","","",""
"132","10.4762","0.0105207","0.0373953","05/02/23 13:08:30 +476239000 ns","10.47624","01 15 05 03 08 31 0C 03 E2","<= Static status reply","","","","15","","","","","","","",""
"133","10.6577","0.00218767","0.170921","05/02/23 13:08:30 +657681000 ns","10.65768","01 06","ACK <=","","","","","","","","","","","",""
"134","10.6685","0.0104167","0.00864533","05/02/23 13:08:30 +668514000 ns","10.66851","01 16 05 03 08 31 0C 03 E1","<= Static status reply","","","","16","","","","","","","",""
"135","10.7924","0.00218767","0.113429","05/02/23 13:08:30 +792360000 ns","10.79236","01 06","ACK <=","","","","","","","","","","","",""
"136","10.8767","0.0105207","0.0821793","05/02/23 13:08:30 +876727000 ns","10.87673","01 16 05 03 08 31 0C 03 E1","<= Static status reply","","","","16","","","","","","","",""
"137","10.8941","0.00802067","0.00687533","05/02/23 13:08:30 +894123000 ns","10.89412","01 27 03 08 31 00 DA","<= Event 1 Status reply","01 00","Emergency Open","","27","","","","","","","",""
"138","10.9169","0.00218667","0.0147913","05/02/23 13:08:30 +916935000 ns","10.91693","01 06","ACK <=","","","","","","","","","","","",""
