"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","140.198","0.00104167","140.198","04/25/23 08:49:46 +198233000 ns","140.1982","E0","","","","","","","","","","","","",""
"2","146.007","0.00239567","5.80814","04/25/23 08:49:52 +7419000 ns","146.0074","01 06","ACK <=","","","","","","","","","","","",""
"3","146.029","0.0106187","0.0194783","04/25/23 08:49:52 +29293000 ns","146.0293","01 D0 04 08 31 0B 08 32 29","<= Initialise reply","","","","D0","","","","","","","",""
"4","156.007","0.00562567","9.96661","04/25/23 08:50:02 +6520000 ns","156.0065","01 61 02 7F E3","<= EBLU Query Reply","","","","61","","","","","","","",""
"5","156.055","0.00677067","0.0427073","04/25/23 08:50:02 +54853000 ns","156.0549","01 22 03 80 C0 9E","<= Event 1 Status reply","80 C0","","","22","","","","","","","",""
"6","156.994","0.00218767","0.932738","04/25/23 08:50:02 +994362000 ns","156.9944","01 06","ACK <=","","","","","","","","","","","",""
"7","157.003","0.00677067","0.00624333","04/25/23 08:50:03 +2793000 ns","157.0028","01 83 03 55 55 7F","<= Breakthrough force reply","","","","83","","","","","","","",""
"8","160.229","0.00218767","3.21902","04/25/23 08:50:06 +228584000 ns","160.2286","01 06","ACK <=","","","","","","","","","","","",""
"9","160.237","0.00561867","0.00593733","04/25/23 08:50:06 +236709000 ns","160.2367","01 64 02 7F E6","<= EBLU Query Reply","","","","64","","","","","","","",""
"10","163.487","0.00218767","3.24433","04/25/23 08:50:09 +486654000 ns","163.4866","01 06","ACK <=","","","","","","","","","","","",""
"11","163.495","0.00562467","0.00593733","04/25/23 08:50:09 +494779000 ns","163.4948","01 65 02 7F E7","<= EBLU Query Reply","","","","65","","","","","","","",""
"12","166.728","0.00218667","3.22797","04/25/23 08:50:12 +728377000 ns","166.7284","01 06","ACK <=","","","","","","","","","","","",""
"13","166.732","0.00562467","0.00156333","04/25/23 08:50:12 +732127000 ns","166.7321","01 66 02 7F E4","<= EBLU Query Reply","","","","66","","","","","","","",""
"14","169.934","0.00218767","3.19673","04/25/23 08:50:15 +934481000 ns","169.9345","01 06","ACK <=","","","","","","","","","","","",""
"15","169.943","0.00562467","0.00593733","04/25/23 08:50:15 +942606000 ns","169.9426","01 67 02 7F E5","<= EBLU Query Reply","","","","67","","","","","","","",""
"16","173.172","0.00218767","3.22381","04/25/23 08:50:19 +172037000 ns","173.172","01 06","ACK <=","","","","","","","","","","","",""
"17","173.176","0.00562467","0.00135433","04/25/23 08:50:19 +175579000 ns","173.1756","01 68 02 7F EA","<= EBLU Query Reply","","","","68","","","","","","","",""
"18","174.04","0.00218767","0.859093","04/25/23 08:50:20 +40297000 ns","174.0403","01 06","ACK <=","","","","","","","","","","","",""
"19","174.051","0.00906267","0.00843733","04/25/23 08:50:20 +50922000 ns","174.0509","01 19 05 03 12 0C 03 FD","<= Static status reply","","","","19","","","","","","","",""
"20","174.157","0.00260367","0.0972833","04/25/23 08:50:20 +157268000 ns","174.1573","01 06","ACK <=","","","","","","","","","","","",""
"21","174.166","0.00687567","0.00593733","04/25/23 08:50:20 +165809000 ns","174.1658","01 2A 03 00 C0 16","<= Event 1 Status reply","00 C0","","","2A","","","","","","","",""
"22","174.298","0.00218767","0.125095","04/25/23 08:50:20 +297780000 ns","174.2978","01 06","ACK <=","","","","","","","","","","","",""
"23","174.448","0.00218767","0.148525","04/25/23 08:50:20 +448493000 ns","174.4485","01 06","ACK <=","","","","","","","","","","","",""
"24","174.593","0.00218767","0.142699","04/25/23 08:50:20 +593380000 ns","174.5934","01 06","ACK <=","","","","","","","","","","","",""
"25","174.602","0.00937567","0.00677033","04/25/23 08:50:20 +602338000 ns","174.6023","01 1B 05 03 12 0C 03 FF","<= Static status reply","","","","1B","","","","","","","",""
"26","174.702","0.00218767","0.0898873","04/25/23 08:50:20 +701601000 ns","174.7016","01 06","ACK <=","","","","","","","","","","","",""
"27","174.71","0.00677067","0.00635433","04/25/23 08:50:20 +710143000 ns","174.7101","01 2C 03 00 C0 10","<= Event 1 Status reply","00 C0","","","2C","","","","","","","",""
"28","176.051","0.00218767","1.33364","04/25/23 08:50:22 +50556000 ns","176.0506","01 06","ACK <=","","","","","","","","","","","",""
"29","176.06","0.00947967","0.00739533","04/25/23 08:50:22 +60139000 ns","176.0601","01 1D 05 03 12 0C 03 F9","<= Static status reply","","","","1D","","","","","","","",""
"30","176.21","0.00218067","0.140199","04/25/23 08:50:22 +209818000 ns","176.2098","01 06","ACK <=","","","","","","","","","","","",""
"31","176.268","0.00947867","0.0563533","04/25/23 08:50:22 +268352000 ns","176.2684","01 1D 05 03 12 0C 03 F9","<= Static status reply","","","","1D","","","","","","","",""
"32","176.399","0.00677067","0.121346","04/25/23 08:50:22 +399177000 ns","176.3992","01 2E 03 00 C0 12","<= Event 1 Status reply","00 C0","","","2E","","","","","","","",""
"33","176.484","0.00218767","0.0777003","04/25/23 08:50:22 +483648000 ns","176.4836","01 06","ACK <=","","","","","","","","","","","",""
"34","176.513","0.00677067","0.0272903","04/25/23 08:50:22 +513126000 ns","176.5131","01 2F 03 98 00 4B","<= Event 1 Status reply","98 00","","","2F","","","","","","","",""
"35","176.563","0.00677067","0.0429103","04/25/23 08:50:22 +562807000 ns","176.5628","01 20 03 80 00 5C","<= Event 1 Status reply","80 00","","","20","","","","","","","",""
"36","176.599","0.00218767","0.0296863","04/25/23 08:50:22 +599264000 ns","176.5993","01 06","ACK <=","","","","","","","","","","","",""
"37","176.754","0.00906167","0.152172","04/25/23 08:50:22 +753624000 ns","176.7536","01 11 05 03 11 0C 03 F6","<= Static status reply","","","","11","","","","","","","",""
"38","176.792","0.00218767","0.0291663","04/25/23 08:50:22 +791852000 ns","176.7919","01 06","ACK <=","","","","","","","","","","","",""
"39","176.937","0.00677067","0.142699","04/25/23 08:50:22 +936739000 ns","176.9367","01 22 03 98 00 46","<= Event 1 Status reply","98 00","","","22","","","","","","","",""
"40","176.978","0.00697867","0.0344723","04/25/23 08:50:22 +977982000 ns","176.978","01 23 03 18 00 C7","<= Event 1 Status reply","18 00","","","23","","","","","","","",""
"41","177.144","0.00218767","0.158845","04/25/23 08:50:23 +143806000 ns","177.1438","01 06","ACK <=","","","","","","","","","","","",""
"42","177.155","0.0103127","0.00895133","04/25/23 08:50:23 +154945000 ns","177.1549","01 14 05 03 08 31 0C 03 E3","<= Static status reply","","","","14","","","","","","","",""
"43","177.261","0.00218767","0.0962413","04/25/23 08:50:23 +261499000 ns","177.2615","01 06","ACK <=","","","","","","","","","","","",""
"44","177.271","0.00718767","0.00739533","04/25/23 08:50:23 +271082000 ns","177.2711","01 25 03 18 00 C1","<= Event 1 Status reply","18 00","","","25","","","","","","","",""
"45","177.676","0.00218667","0.397884","04/25/23 08:50:23 +676154000 ns","177.6761","01 06","ACK <=","","","","","","","","","","","",""
"46","177.686","0.0106247","0.00750033","04/25/23 08:50:23 +685841000 ns","177.6858","01 16 05 03 08 31 0C 03 E1","<= Static status reply","","","","16","","","","","","","",""
"47","177.818","0.00229167","0.121658","04/25/23 08:50:23 +818124000 ns","177.8181","01 06","ACK <=","","","","","","","","","","","",""
"48","177.828","0.00697967","0.00739533","04/25/23 08:50:23 +827811000 ns","177.8278","01 27 03 18 00 C3","<= Event 1 Status reply","18 00","","","27","","","","","","","",""
"49","178.21","0.00218767","0.375175","04/25/23 08:50:24 +209966000 ns","178.21","01 06","ACK <=","","","","","","","","","","","",""
"50","178.219","0.0102087","0.00677033","04/25/23 08:50:24 +218924000 ns","178.2189","01 18 05 03 08 31 0C 03 EF","<= Static status reply","","","","18","","","","","","","",""
"51","178.365","0.00239667","0.135407","04/25/23 08:50:24 +364540000 ns","178.3645","01 06","ACK <=","","","","","","","","","","","",""
"52","178.43","0.0106247","0.0634293","04/25/23 08:50:24 +430366000 ns","178.4304","01 18 05 03 08 31 0C 03 EF","<= Static status reply","","","","18","","","","","","","",""
"53","178.457","0.00718767","0.0159373","04/25/23 08:50:24 +456928000 ns","178.4569","01 29 03 18 00 CD","<= Event 1 Status reply","18 00","","","29","","","","","","","",""
