"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Type/SEQ"
"1","140.198","0.00104167","140.198","04/25/23 08:49:46 +198233000 ns","140.1982","E0","",""
"2","142.775","0.00562467","2.57534","04/25/23 08:49:48 +774616000 ns","142.7746","01 D0 02 FE D3","=> Initialise","D0"
"3","143.077","0.00562467","0.297182","04/25/23 08:49:49 +77423000 ns","143.0774","01 D0 02 FE D3","=> Initialise","D0"
"4","143.379","0.00562567","0.296342","04/25/23 08:49:49 +379390000 ns","143.3794","01 D0 02 FE D3","=> Initialise","D0"
"5","145.995","0.00562567","2.61003","04/25/23 08:49:51 +995049000 ns","145.9951","01 D0 02 FE D3","=> Initialise","D0"
"6","146.007","0.00239567","0.00674433","04/25/23 08:49:52 +7419000 ns","146.0074","01 06","ACK <=",""
"7","146.029","0.0106187","0.0194783","04/25/23 08:49:52 +29293000 ns","146.0293","01 D0 04 08 31 0B 08 32 29","<= Initialise reply","D0"
"8","146.181","0.00218767","0.14128","04/25/23 08:49:52 +181192000 ns","146.1812","01 06","ACK =>",""
"9","156.007","0.00562567","9.82314","04/25/23 08:50:02 +6520000 ns","156.0065","01 61 02 7F E3","<= EBLU Query Reply","61"
"10","156.048","0.00218767","0.0355523","04/25/23 08:50:02 +47698000 ns","156.0477","01 06","ACK =>",""
"11","156.055","0.00677067","0.00496733","04/25/23 08:50:02 +54853000 ns","156.0549","01 22 03 80 C0 9E","<= Event 1 Status reply","22"
"12","156.096","0.00218767","0.0339903","04/25/23 08:50:02 +95614000 ns","156.0956","01 06","ACK =>",""
"13","156.979","0.00677067","0.880811","04/25/23 08:50:02 +978613000 ns","156.9786","01 C1 03 55 55 3D","=> Update breakthrough force","C1"
"14","156.994","0.00218767","0.00897833","04/25/23 08:50:02 +994362000 ns","156.9944","01 06","ACK <=",""
"15","157.003","0.00677067","0.00624333","04/25/23 08:50:03 +2793000 ns","157.0028","01 83 03 55 55 7F","<= Breakthrough force reply","83"
"16","157.04","0.00218767","0.0301943","04/25/23 08:50:03 +39758000 ns","157.0398","01 06","ACK =>",""
"17","160.216","0.00562567","3.17429","04/25/23 08:50:06 +216234000 ns","160.2162","01 B2 02 FF B0","=> EBLU Query","B2"
"18","160.229","0.00218767","0.00672433","04/25/23 08:50:06 +228584000 ns","160.2286","01 06","ACK <=",""
"19","160.237","0.00561867","0.00593733","04/25/23 08:50:06 +236709000 ns","160.2367","01 64 02 7F E6","<= EBLU Query Reply","64"
"20","160.271","0.00218767","0.0289053","04/25/23 08:50:06 +271233000 ns","160.2712","01 06","ACK =>",""
"21","163.474","0.00562467","3.20085","04/25/23 08:50:09 +474272000 ns","163.4743","01 B3 02 FF B1","=> EBLU Query","B3"
"22","163.487","0.00218767","0.00675733","04/25/23 08:50:09 +486654000 ns","163.4866","01 06","ACK <=",""
"23","163.495","0.00562467","0.00593733","04/25/23 08:50:09 +494779000 ns","163.4948","01 65 02 7F E7","<= EBLU Query Reply","65"
"24","163.535","0.00218767","0.0350123","04/25/23 08:50:09 +535416000 ns","163.5354","01 06","ACK =>",""
"25","166.709","0.00562467","3.1718","04/25/23 08:50:12 +709399000 ns","166.7094","01 B4 02 FF B6","=> EBLU Query","B4"
"26","166.728","0.00218667","0.0133533","04/25/23 08:50:12 +728377000 ns","166.7284","01 06","ACK <=",""
"27","166.732","0.00562467","0.00156333","04/25/23 08:50:12 +732127000 ns","166.7321","01 66 02 7F E4","<= EBLU Query Reply","66"
"28","166.767","0.00218767","0.0290423","04/25/23 08:50:12 +766794000 ns","166.7668","01 06","ACK =>",""
"29","169.922","0.00562467","3.15314","04/25/23 08:50:15 +922125000 ns","169.9221","01 B5 02 FF B7","=> EBLU Query","B5"
"30","169.934","0.00218767","0.00673133","04/25/23 08:50:15 +934481000 ns","169.9345","01 06","ACK <=",""
"31","169.943","0.00562467","0.00593733","04/25/23 08:50:15 +942606000 ns","169.9426","01 67 02 7F E5","<= EBLU Query Reply","67"
"32","169.983","0.00218667","0.0345183","04/25/23 08:50:15 +982749000 ns","169.9827","01 06","ACK =>",""
"33","173.154","0.00562567","3.16898","04/25/23 08:50:19 +153912000 ns","173.1539","01 B6 02 FF B4","=> EBLU Query","B6"
"34","173.172","0.00218767","0.0124993","04/25/23 08:50:19 +172037000 ns","173.172","01 06","ACK <=",""
"35","173.176","0.00562467","0.00135433","04/25/23 08:50:19 +175579000 ns","173.1756","01 68 02 7F EA","<= EBLU Query Reply","68"
"36","173.215","0.00218767","0.0333323","04/25/23 08:50:19 +214536000 ns","173.2145","01 06","ACK =>",""
"37","174.021","0.00562467","0.804355","04/25/23 08:50:20 +21079000 ns","174.0211","01 17 02 00 EA","=> Static status query","17"
"38","174.04","0.00218767","0.0135933","04/25/23 08:50:20 +40297000 ns","174.0403","01 06","ACK <=",""
"39","174.051","0.00906267","0.00843733","04/25/23 08:50:20 +50922000 ns","174.0509","01 19 05 03 12 0C 03 FD","<= Static status reply","19"
"40","174.094","0.00218767","0.0344263","04/25/23 08:50:20 +94411000 ns","174.0944","01 06","ACK =>",""
"41","174.145","0.00562467","0.0483323","04/25/23 08:50:20 +144931000 ns","174.1449","01 28 02 6F BA","=> Event 1 Status query","28"
"42","174.157","0.00260367","0.00671233","04/25/23 08:50:20 +157268000 ns","174.1573","01 06","ACK <=",""
"43","174.166","0.00687567","0.00593733","04/25/23 08:50:20 +165809000 ns","174.1658","01 2A 03 00 C0 16","<= Event 1 Status reply","2A"
"44","174.206","0.00218767","0.0335993","04/25/23 08:50:20 +206284000 ns","174.2063","01 06","ACK =>",""
"45","174.283","0.00562467","0.0741653","04/25/23 08:50:20 +282637000 ns","174.2826","01 A9 02 82 D6","=> change mode","A9"
"46","174.298","0.00218767","0.00951833","04/25/23 08:50:20 +297780000 ns","174.2978","01 06","ACK <=",""
"47","174.437","0.00562467","0.136618","04/25/23 08:50:20 +436586000 ns","174.4366","01 5A 02 03 A4","=> Set credit score maximum","5A"
"48","174.448","0.00218767","0.00628233","04/25/23 08:50:20 +448493000 ns","174.4485","01 06","ACK <=",""
"49","174.58","0.00562467","0.129757","04/25/23 08:50:20 +580438000 ns","174.5804","01 1B 02 00 E6","=> Static status query","1B"
"50","174.593","0.00218767","0.00731733","04/25/23 08:50:20 +593380000 ns","174.5934","01 06","ACK <=",""
"51","174.602","0.00937567","0.00677033","04/25/23 08:50:20 +602338000 ns","174.6023","01 1B 05 03 12 0C 03 FF","<= Static status reply","1B"
"52","174.638","0.00218767","0.0266393","04/25/23 08:50:20 +638353000 ns","174.6384","01 06","ACK =>",""
"53","174.689","0.00562467","0.0485413","04/25/23 08:50:20 +689082000 ns","174.6891","01 2C 02 6F BE","=> Event 1 Status query","2C"
"54","174.702","0.00218767","0.00689433","04/25/23 08:50:20 +701601000 ns","174.7016","01 06","ACK <=",""
"55","174.71","0.00677067","0.00635433","04/25/23 08:50:20 +710143000 ns","174.7101","01 2C 03 00 C0 10","<= Event 1 Status reply","2C"
"56","174.751","0.00218767","0.0336253","04/25/23 08:50:20 +750539000 ns","174.7505","01 06","ACK =>",""
"57","176.037","0.00562467","1.28455","04/25/23 08:50:22 +37275000 ns","176.0373","01 1D 02 00 E0","=> Static status query","1D"
"58","176.051","0.00218767","0.00765633","04/25/23 08:50:22 +50556000 ns","176.0506","01 06","ACK <=",""
"59","176.06","0.00947967","0.00739533","04/25/23 08:50:22 +60139000 ns","176.0601","01 1D 05 03 12 0C 03 F9","<= Static status reply","1D"
"60","176.191","0.00562467","0.121612","04/25/23 08:50:22 +191231000 ns","176.1912","01 2E 02 6F BC","=> Event 1 Status query","2E"
"61","176.21","0.00218067","0.0129623","04/25/23 08:50:22 +209818000 ns","176.2098","01 06","ACK <=",""
"62","176.268","0.00947867","0.0563533","04/25/23 08:50:22 +268352000 ns","176.2684","01 1D 05 03 12 0C 03 F9","<= Static status reply","1D"
"63","176.395","0.00218767","0.117459","04/25/23 08:50:22 +395290000 ns","176.3953","01 06","ACK =>",""
"64","176.399","0.00677067","0.00169933","04/25/23 08:50:22 +399177000 ns","176.3992","01 2E 03 00 C0 12","<= Event 1 Status reply","2E"
"65","176.421","0.00218767","0.0151683","04/25/23 08:50:22 +421116000 ns","176.4211","01 06","ACK =>",""
"66","176.446","0.00218767","0.0230203","04/25/23 08:50:22 +446324000 ns","176.4463","01 06","ACK =>",""
"67","176.472","0.00562567","0.0232283","04/25/23 08:50:22 +471740000 ns","176.4717","01 AF 02 81 D3","=> change mode","AF"
"68","176.484","0.00218767","0.00628233","04/25/23 08:50:22 +483648000 ns","176.4836","01 06","ACK <=",""
"69","176.513","0.00677067","0.0272903","04/25/23 08:50:22 +513126000 ns","176.5131","01 2F 03 98 00 4B","<= Event 1 Status reply","2F"
"70","176.558","0.00218667","0.0385093","04/25/23 08:50:22 +558406000 ns","176.5584","01 06","ACK =>",""
"71","176.563","0.00677067","0.00221433","04/25/23 08:50:22 +562807000 ns","176.5628","01 20 03 80 00 5C","<= Event 1 Status reply","20"
"72","176.581","0.00562567","0.0114313","04/25/23 08:50:22 +581009000 ns","176.581","01 10 02 00 ED","=> Static status query","10"
"73","176.599","0.00218767","0.0126293","04/25/23 08:50:22 +599264000 ns","176.5993","01 06","ACK <=",""
"74","176.744","0.00218767","0.142992","04/25/23 08:50:22 +744444000 ns","176.7444","01 06","ACK =>",""
"75","176.754","0.00906167","0.00699233","04/25/23 08:50:22 +753624000 ns","176.7536","01 11 05 03 11 0C 03 F6","<= Static status reply","11"
"76","176.773","0.00562467","0.0106123","04/25/23 08:50:22 +773298000 ns","176.7733","01 21 02 6F B3","=> Event 1 Status query","21"
"77","176.792","0.00218767","0.0129293","04/25/23 08:50:22 +791852000 ns","176.7919","01 06","ACK <=",""
"78","176.932","0.00218767","0.138422","04/25/23 08:50:22 +932462000 ns","176.9325","01 06","ACK =>",""
"79","176.937","0.00677067","0.00208933","04/25/23 08:50:22 +936739000 ns","176.9367","01 22 03 98 00 46","<= Event 1 Status reply","22"
"80","176.974","0.00218767","0.0306183","04/25/23 08:50:22 +974128000 ns","176.9741","01 06","ACK =>",""
"81","176.978","0.00697867","0.00166633","04/25/23 08:50:22 +977982000 ns","176.978","01 23 03 18 00 C7","<= Event 1 Status reply","23"
"82","177.022","0.00218767","0.0371873","04/25/23 08:50:23 +22148000 ns","177.0221","01 06","ACK =>",""
"83","177.123","0.00562467","0.0985333","04/25/23 08:50:23 +122869000 ns","177.1229","01 12 02 00 EF","=> Static status query","12"
"84","177.144","0.00218767","0.0153123","04/25/23 08:50:23 +143806000 ns","177.1438","01 06","ACK <=",""
"85","177.155","0.0103127","0.00895133","04/25/23 08:50:23 +154945000 ns","177.1549","01 14 05 03 08 31 0C 03 E3","<= Static status reply","14"
"86","177.198","0.00218767","0.0330263","04/25/23 08:50:23 +198284000 ns","177.1983","01 06","ACK =>",""
"87","177.249","0.00562467","0.0483323","04/25/23 08:50:23 +248804000 ns","177.2488","01 23 02 6F B1","=> Event 1 Status query","23"
"88","177.261","0.00218767","0.00707033","04/25/23 08:50:23 +261499000 ns","177.2615","01 06","ACK <=",""
"89","177.271","0.00718767","0.00739533","04/25/23 08:50:23 +271082000 ns","177.2711","01 25 03 18 00 C1","<= Event 1 Status reply","25"
"90","177.31","0.00218667","0.0320963","04/25/23 08:50:23 +310366000 ns","177.3104","01 06","ACK =>",""
"91","177.663","0.00562467","0.350515","04/25/23 08:50:23 +663068000 ns","177.6631","01 14 02 00 E9","=> Static status query","14"
"92","177.676","0.00218667","0.00746133","04/25/23 08:50:23 +676154000 ns","177.6761","01 06","ACK <=",""
"93","177.686","0.0106247","0.00750033","04/25/23 08:50:23 +685841000 ns","177.6858","01 16 05 03 08 31 0C 03 E1","<= Static status reply","16"
"94","177.726","0.00218767","0.0297263","04/25/23 08:50:23 +726192000 ns","177.7262","01 06","ACK =>",""
"95","177.802","0.00562467","0.0735333","04/25/23 08:50:23 +801913000 ns","177.8019","01 25 02 6F B7","=> Event 1 Status query","25"
"96","177.818","0.00229167","0.0105863","04/25/23 08:50:23 +818124000 ns","177.8181","01 06","ACK <=",""
"97","177.828","0.00697967","0.00739533","04/25/23 08:50:23 +827811000 ns","177.8278","01 27 03 18 00 C3","<= Event 1 Status reply","27"
"98","177.87","0.00218767","0.0352463","04/25/23 08:50:23 +870037000 ns","177.87","01 06","ACK =>",""
"99","178.197","0.00562467","0.324682","04/25/23 08:50:24 +196907000 ns","178.1969","01 16 02 00 EB","=> Static status query","16"
"100","178.21","0.00218767","0.00743433","04/25/23 08:50:24 +209966000 ns","178.21","01 06","ACK <=",""
"101","178.219","0.0102087","0.00677033","04/25/23 08:50:24 +218924000 ns","178.2189","01 18 05 03 08 31 0C 03 EF","<= Static status reply","18"
"102","178.347","0.00562467","0.118188","04/25/23 08:50:24 +347321000 ns","178.3473","01 27 02 6F B5","=> Event 1 Status query","27"
"103","178.365","0.00239667","0.0115943","04/25/23 08:50:24 +364540000 ns","178.3645","01 06","ACK <=",""
"104","178.43","0.0106247","0.0634293","04/25/23 08:50:24 +430366000 ns","178.4304","01 18 05 03 08 31 0C 03 EF","<= Static status reply","18"
"105","178.453","0.00218767","0.0120573","04/25/23 08:50:24 +453048000 ns","178.453","01 06","ACK =>",""
"106","178.457","0.00718767","0.00169233","04/25/23 08:50:24 +456928000 ns","178.4569","01 29 03 18 00 CD","<= Event 1 Status reply","29"
"107","178.469","0.00218667","0.00507833","04/25/23 08:50:24 +469194000 ns","178.4692","01 06","ACK =>",""
"108","178.495","0.00218767","0.0233263","04/25/23 08:50:24 +494707000 ns","178.4947","01 06","ACK =>",""
"109","178.747","0.00562567","0.250412","04/25/23 08:50:24 +747307000 ns","178.7473","01 18 02 00 E5","=> Static status query","18"
"110","178.766","0.00218767","0.0130333","04/25/23 08:50:24 +765966000 ns","178.766","01 06","ACK <=",""
"111","178.777","0.0105207","0.00843733","04/25/23 08:50:24 +776591000 ns","178.7766","01 1A 05 03 08 31 0C 03 ED","<= Static status reply","1A"
"112","178.814","0.00218767","0.0271733","04/25/23 08:50:24 +814285000 ns","178.8143","01 06","ACK =>",""
"113","178.89","0.00562467","0.0734363","04/25/23 08:50:24 +889909000 ns","178.8899","01 29 02 6F BB","=> Event 1 Status query","29"
"114","178.903","0.00218667","0.00698633","04/25/23 08:50:24 +902520000 ns","178.9025","01 06","ACK <=",""
"115","178.911","0.00708367","0.00635433","04/25/23 08:50:24 +911061000 ns","178.9111","01 2B 03 18 00 CF","<= Event 1 Status reply","2B"
"116","179.06","0.00218767","0.142074","04/25/23 08:50:25 +60219000 ns","179.0602","01 06","ACK =>",""
"117","179.287","0.00562467","0.224781","04/25/23 08:50:25 +287188000 ns","179.2872","01 1A 02 00 E7","=> Static status query","1A"
"118","179.3","0.00218767","0.00738233","04/25/23 08:50:25 +300195000 ns","179.3002","01 06","ACK <=",""
"119","179.309","0.0106257","0.00687433","04/25/23 08:50:25 +309257000 ns","179.3092","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","1C"
"120","179.435","0.00562467","0.115427","04/25/23 08:50:25 +435310000 ns","179.4353","01 2B 02 6F B9","=> Event 1 Status query","2B"
"121","179.448","0.00218167","0.00695933","04/25/23 08:50:25 +447894000 ns","179.4479","01 06","ACK <=",""
"122","179.52","0.0105207","0.0694773","04/25/23 08:50:25 +519553000 ns","179.5195","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","1C"
"123","179.541","0.00218767","0.0108593","04/25/23 08:50:25 +540933000 ns","179.5409","01 06","ACK =>",""
"124","179.549","0.00676467","0.00539033","04/25/23 08:50:25 +548511000 ns","179.5485","01 2D 03 18 00 C9","<= Event 1 Status reply","2D"
"125","179.557","0.00218667","0.00169933","04/25/23 08:50:25 +556975000 ns","179.557","01 06","ACK =>",""
"126","179.582","0.00218767","0.0229163","04/25/23 08:50:25 +582078000 ns","179.5821","01 06","ACK =>",""
"127","179.834","0.00562467","0.249371","04/25/23 08:50:25 +833637000 ns","179.8336","01 1C 02 00 E1","=> Static status query","1C"
"128","179.847","0.00218667","0.00735033","04/25/23 08:50:25 +846612000 ns","179.8466","01 06","ACK <=",""
"129","179.855","0.0106247","0.00635433","04/25/23 08:50:25 +855153000 ns","179.8551","01 1E 05 03 08 31 0C 03 E9","<= Static status reply","1E"
"130","179.902","0.00218767","0.0362883","04/25/23 08:50:25 +902066000 ns","179.9021","01 06","ACK =>",""
"131","179.952","0.00562467","0.0481243","04/25/23 08:50:25 +952378000 ns","179.9524","01 2D 02 6F BF","=> Event 1 Status query","2D"
"132","179.971","0.00218167","0.0131833","04/25/23 08:50:25 +971186000 ns","179.9712","01 06","ACK <=",""
"133","179.982","0.00708367","0.00822833","04/25/23 08:50:25 +981596000 ns","179.9816","01 2F 03 18 00 CB","<= Event 1 Status reply","2F"
"134","180.132","0.00218767","0.143591","04/25/23 08:50:26 +132271000 ns","180.1323","01 06","ACK =>",""
"135","180.359","0.00562467","0.224371","04/25/23 08:50:26 +358830000 ns","180.3588","01 1E 02 00 E3","=> Static status query","1E"
"136","180.374","0.00218667","0.00992833","04/25/23 08:50:26 +374383000 ns","180.3744","01 06","ACK <=",""
"137","180.384","0.0105137","0.00750033","04/25/23 08:50:26 +384070000 ns","180.3841","01 10 05 03 08 31 0C 03 E7","<= Static status reply","10"
"138","180.43","0.00218767","0.0354943","04/25/23 08:50:26 +430078000 ns","180.4301","01 06","ACK =>",""
"139","180.506","0.00562467","0.0733323","04/25/23 08:50:26 +505598000 ns","180.5056","01 2F 02 6F BD","=> Event 1 Status query","2F"
"140","180.519","0.00218767","0.00762333","04/25/23 08:50:26 +518846000 ns","180.5188","01 06","ACK <=",""
"141","180.529","0.00687467","0.00750033","04/25/23 08:50:26 +528534000 ns","180.5285","01 21 03 18 00 C5","<= Event 1 Status reply","21"
"142","180.676","0.00218667","0.140805","04/25/23 08:50:26 +676214000 ns","180.6762","01 06","ACK =>",""
"143","180.903","0.00562467","0.224371","04/25/23 08:50:26 +902772000 ns","180.9028","01 10 02 00 ED","=> Static status query","10"
"144","180.921","0.00218667","0.0123963","04/25/23 08:50:26 +920793000 ns","180.9208","01 06","ACK <=",""
"145","180.931","0.0104167","0.00791733","04/25/23 08:50:26 +930897000 ns","180.9309","01 12 05 03 08 31 0C 03 E5","<= Static status reply","12"
"146","180.974","0.00218767","0.0326033","04/25/23 08:50:26 +973917000 ns","180.9739","01 06","ACK =>",""
"147","181.05","0.00562467","0.0737483","04/25/23 08:50:27 +49853000 ns","181.0499","01 21 02 6F B3","=> Event 1 Status query","21"
"148","181.065","0.00229167","0.00999333","04/25/23 08:50:27 +65471000 ns","181.0655","01 06","ACK <=",""
"149","181.075","0.00697867","0.00739633","04/25/23 08:50:27 +75159000 ns","181.0752","01 23 03 18 00 C7","<= Event 1 Status reply","23"
"150","181.118","0.00218767","0.0358393","04/25/23 08:50:27 +117977000 ns","181.118","01 06","ACK =>",""
"151","181.445","0.00562467","0.324779","04/25/23 08:50:27 +444944000 ns","181.4449","01 12 02 00 EF","=> Static status query","12"
"152","181.458","0.00218667","0.00737033","04/25/23 08:50:27 +457939000 ns","181.4579","01 06","ACK <=",""
"153","181.467","0.0105207","0.00687533","04/25/23 08:50:27 +467001000 ns","181.467","01 14 05 03 08 31 0C 03 E3","<= Static status reply","14"
"154","181.595","0.00562467","0.117732","04/25/23 08:50:27 +595254000 ns","181.5953","01 23 02 6F B1","=> Event 1 Status query","23"
"155","181.612","0.00239567","0.0110093","04/25/23 08:50:27 +611888000 ns","181.6119","01 06","ACK <=",""
"156","181.678","0.0106257","0.0634293","04/25/23 08:50:27 +677713000 ns","181.6777","01 14 05 03 08 31 0C 03 E3","<= Static status reply","14"
"157","181.807","0.00218767","0.118786","04/25/23 08:50:27 +807125000 ns","181.8071","01 06","ACK =>",""
"158","181.815","0.00677167","0.00578733","04/25/23 08:50:27 +815100000 ns","181.8151","01 25 03 18 00 C1","<= Event 1 Status reply","25"
"159","181.829","0.00218767","0.00712833","04/25/23 08:50:27 +829000000 ns","181.829","01 06","ACK =>",""
"160","181.854","0.00218767","0.0230203","04/25/23 08:50:27 +854208000 ns","181.8542","01 06","ACK =>",""
"161","181.98","0.00562467","0.123845","04/25/23 08:50:27 +980241000 ns","181.9802","01 14 02 00 E9","=> Static status query","14"
"162","181.998","0.00229167","0.0120313","04/25/23 08:50:27 +997897000 ns","181.9979","01 06","ACK <=",""
"163","182.008","0.0105207","0.00760433","04/25/23 08:50:28 +7793000 ns","182.0078","01 16 05 03 08 31 0C 03 E1","<= Static status reply","16"
"164","182.046","0.00218767","0.0275513","04/25/23 08:50:28 +45865000 ns","182.0459","01 06","ACK =>",""
"165","182.121","0.00562467","0.0732273","04/25/23 08:50:28 +121280000 ns","182.1213","01 25 02 6F B7","=> Event 1 Status query","25"
"166","182.141","0.00218767","0.0141083","04/25/23 08:50:28 +141013000 ns","182.141","01 06","ACK <=",""
"167","182.145","0.00718767","0.00177033","04/25/23 08:50:28 +144971000 ns","182.145","01 27 03 18 00 C3","<= Event 1 Status reply","27"
"168","182.19","0.00218767","0.0379743","04/25/23 08:50:28 +190133000 ns","182.1901","01 06","ACK =>",""
"169","182.543","0.00562467","0.350202","04/25/23 08:50:28 +542523000 ns","182.5425","01 16 02 00 EB","=> Static status query","16"
"170","182.56","0.00229167","0.0121033","04/25/23 08:50:28 +560251000 ns","182.5603","01 06","ACK <=",""
"171","182.57","0.0104097","0.00791633","04/25/23 08:50:28 +570459000 ns","182.5705","01 18 05 03 08 31 0C 03 EF","<= Static status reply","18"
"172","182.699","0.00562467","0.118103","04/25/23 08:50:28 +698972000 ns","182.699","01 27 02 6F B5","=> Event 1 Status query","27"
"173","182.711","0.00218767","0.00688833","04/25/23 08:50:28 +711485000 ns","182.7115","01 06","ACK <=",""
"174","182.779","0.0107297","0.0648943","04/25/23 08:50:28 +778567000 ns","182.7786","01 18 05 03 08 31 0C 03 EF","<= Static status reply","18"
"175","182.907","0.00218767","0.117797","04/25/23 08:50:28 +907094000 ns","182.9071","01 06","ACK =>",""
"176","182.911","0.00708267","0.00218733","04/25/23 08:50:28 +911469000 ns","182.9115","01 29 03 18 00 CD","<= Event 1 Status reply","29"
"177","182.933","0.00218767","0.0142703","04/25/23 08:50:28 +932822000 ns","182.9328","01 06","ACK =>",""
"178","182.958","0.00218767","0.0230203","04/25/23 08:50:28 +958030000 ns","182.958","01 06","ACK =>",""
"179","183.084","0.00562467","0.123956","04/25/23 08:50:29 +84174000 ns","183.0842","01 18 02 00 E5","=> Static status query","18"
"180","183.097","0.00218767","0.00738933","04/25/23 08:50:29 +97188000 ns","183.0972","01 06","ACK <=",""
"181","183.106","0.0103127","0.00686833","04/25/23 08:50:29 +106244000 ns","183.1062","01 1A 05 03 08 31 0C 03 ED","<= Static status reply","1A"
"182","183.15","0.00218767","0.0333453","04/25/23 08:50:29 +149902000 ns","183.1499","01 06","ACK =>",""
"183","183.605","0.00562467","0.453215","04/25/23 08:50:29 +605305000 ns","183.6053","01 19 02 00 E4","=> Static status query","19"
"184","183.621","0.00218667","0.0104883","04/25/23 08:50:29 +621418000 ns","183.6214","01 06","ACK <=",""
"185","183.631","0.0105207","0.00749333","04/25/23 08:50:29 +631098000 ns","183.6311","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","1B"
"186","183.678","0.00218767","0.0362883","04/25/23 08:50:29 +677907000 ns","183.6779","01 06","ACK =>",""
"187","183.754","0.00562467","0.0734363","04/25/23 08:50:29 +753531000 ns","183.7535","01 2A 02 6F B8","=> Event 1 Status query","2A"
"188","183.766","0.00218767","0.00672533","04/25/23 08:50:29 +765881000 ns","183.7659","01 06","ACK <=",""
"189","183.775","0.00687567","0.00729133","04/25/23 08:50:29 +775360000 ns","183.7754","01 2C 03 18 00 C8","<= Event 1 Status reply","2C"
