"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Type/SEQ"
"65","180.473","0.00697967","0.00739533","04/25/23 08:57:58 +473050000 ns","180.4731","01 2E 03 00 C0 12","<= Event 1 Status reply","2E"
"66","180.516","0.00218667","0.0360153","04/25/23 08:57:58 +516045000 ns","180.5161","01 06","ACK =>",""
"67","180.592","0.00562567","0.0735403","04/25/23 08:57:58 +591772000 ns","180.5918","01 AF 02 81 D3","=> change mode","AF"
"68","180.607","0.00218667","0.0100193","04/25/23 08:57:58 +607417000 ns","180.6074","01 06","ACK <=",""
"69","180.638","0.00687567","0.0279163","04/25/23 08:57:58 +637520000 ns","180.6375","01 2F 03 98 00 4B","<= Event 1 Status reply","2F"
"70","180.676","0.00218767","0.0316463","04/25/23 08:57:58 +676042000 ns","180.676","01 06","ACK =>",""
"71","180.684","0.00687467","0.00584633","04/25/23 08:57:58 +684076000 ns","180.6841","01 20 03 80 00 5C","<= Event 1 Status reply","20"
"72","180.724","0.00218767","0.0331113","04/25/23 08:57:58 +724062000 ns","180.7241","01 06","ACK =>",""
"73","180.813","0.00677167","0.0869833","04/25/23 08:57:58 +813233000 ns","180.8132","01 21 03 98 00 45","<= Event 1 Status reply","21"
"74","180.852","0.00218767","0.0320693","04/25/23 08:57:58 +852074000 ns","180.8521","01 06","ACK =>",""
"75","180.878","0.00562567","0.0233323","04/25/23 08:57:58 +877594000 ns","180.8776","01 10 02 00 ED","=> Static status query","10"
"76","180.899","0.00218667","0.0156313","04/25/23 08:57:58 +898851000 ns","180.8988","01 06","ACK <=",""
"77","180.909","0.0105207","0.00843733","04/25/23 08:57:58 +909475000 ns","180.9095","01 12 05 03 08 31 0C 03 E5","<= Static status reply","12"
"78","180.948","0.00218667","0.0284313","04/25/23 08:57:58 +948427000 ns","180.9484","01 06","ACK =>",""
"79","180.999","0.00562567","0.0483323","04/25/23 08:57:58 +998946000 ns","180.9989","01 21 02 6F B3","=> Event 1 Status query","21"
"80","181.012","0.00218767","0.00760333","04/25/23 08:57:59 +12175000 ns","181.0122","01 06","ACK <=",""
"81","181.022","0.00687567","0.00781233","04/25/23 08:57:59 +22175000 ns","181.0222","01 23 03 18 00 C7","<= Event 1 Status reply","23"
"82","181.06","0.00218767","0.0313533","04/25/23 08:57:59 +60404000 ns","181.0604","01 06","ACK =>",""
"83","181.413","0.00562567","0.349993","04/25/23 08:57:59 +412585000 ns","181.4126","01 12 02 00 EF","=> Static status query","12"
"84","181.43","0.00218767","0.0118483","04/25/23 08:57:59 +430059000 ns","181.4301","01 06","ACK <=",""
"85","181.44","0.0105207","0.00791633","04/25/23 08:57:59 +440163000 ns","181.4402","01 14 05 03 08 31 0C 03 E3","<= Static status reply","14"
"86","181.57","0.00562467","0.119711","04/25/23 08:57:59 +570395000 ns","181.5704","01 23 02 6F B1","=> Event 1 Status query","23"
"87","181.589","0.00218667","0.0126763","04/25/23 08:57:59 +588696000 ns","181.5887","01 06","ACK <=",""
"88","181.65","0.0106247","0.0591593","04/25/23 08:57:59 +650042000 ns","181.65","01 14 05 03 08 31 0C 03 E3","<= Static status reply","14"
"89","181.778","0.00218767","0.117739","04/25/23 08:57:59 +778406000 ns","181.7784","01 06","ACK =>",""
"90","181.783","0.00697867","0.00214833","04/25/23 08:57:59 +782742000 ns","181.7827","01 25 03 18 00 C1","<= Event 1 Status reply","25"
"91","181.803","0.00218667","0.0130603","04/25/23 08:57:59 +802781000 ns","181.8028","01 06","ACK =>",""
"92","181.828","0.00218767","0.0230203","04/25/23 08:57:59 +827988000 ns","181.828","01 06","ACK =>",""
"93","181.954","0.00562567","0.123539","04/25/23 08:57:59 +953715000 ns","181.9537","01 14 02 00 E9","=> Static status query","14"
"94","181.973","0.00218767","0.0136973","04/25/23 08:57:59 +973038000 ns","181.973","01 06","ACK <=",""
"95","181.984","0.0106257","0.00874933","04/25/23 08:57:59 +983975000 ns","181.984","01 16 05 03 08 31 0C 03 E1","<= Static status reply","16"
"96","182.114","0.00562467","0.119633","04/25/23 08:58:00 +114234000 ns","182.1142","01 25 02 6F B7","=> Event 1 Status query","25"
"97","182.133","0.00218667","0.0135873","04/25/23 08:58:00 +133446000 ns","182.1335","01 06","ACK <=",""
"98","182.192","0.0105207","0.0567633","04/25/23 08:58:00 +192396000 ns","182.1924","01 16 05 03 08 31 0C 03 E1","<= Static status reply","16"
"99","182.322","0.00218767","0.11923","04/25/23 08:58:00 +322147000 ns","182.3221","01 06","ACK =>",""
"100","182.326","0.00687467","0.00201133","04/25/23 08:58:00 +326346000 ns","182.3263","01 27 03 18 00 C3","<= Event 1 Status reply","27"
"101","182.347","0.00218767","0.0136133","04/25/23 08:58:00 +346834000 ns","182.3468","01 06","ACK =>",""
"102","182.372","0.00218767","0.0232283","04/25/23 08:58:00 +372250000 ns","182.3723","01 06","ACK =>",""
"103","182.498","0.00562567","0.124053","04/25/23 08:58:00 +498491000 ns","182.4985","01 16 02 00 EB","=> Static status query","16"
"104","182.511","0.00218767","0.00731733","04/25/23 08:58:00 +511434000 ns","182.5114","01 06","ACK <=",""
"105","182.52","0.0106247","0.00687433","04/25/23 08:58:00 +520496000 ns","182.5205","01 18 05 03 08 31 0C 03 EF","<= Static status reply","18"
"106","182.564","0.00218767","0.0330983","04/25/23 08:58:00 +564219000 ns","182.5642","01 06","ACK =>",""
"107","182.64","0.00562467","0.0733323","04/25/23 08:58:00 +639739000 ns","182.6397","01 27 02 6F B5","=> Event 1 Status query","27"
"108","182.652","0.00218767","0.00689433","04/25/23 08:58:00 +652258000 ns","182.6523","01 06","ACK <=",""
"109","182.661","0.00708367","0.00634733","04/25/23 08:58:00 +660793000 ns","182.6608","01 29 03 18 00 CD","<= Event 1 Status reply","29"
"110","182.811","0.00218767","0.143526","04/25/23 08:58:00 +811403000 ns","182.8114","01 06","ACK =>",""
"111","183.063","0.00562467","0.249683","04/25/23 08:58:01 +63274000 ns","183.0633","01 18 02 00 E5","=> Static status query","18"
"112","183.082","0.00218767","0.0132153","04/25/23 08:58:01 +82114000 ns","183.0821","01 06","ACK <=",""
"113","183.093","0.0105207","0.00843733","04/25/23 08:58:01 +92739000 ns","183.0927","01 1A 05 03 08 31 0C 03 ED","<= Static status reply","1A"
"114","183.14","0.00218767","0.0366793","04/25/23 08:58:01 +139939000 ns","183.1399","01 06","ACK =>",""
"115","183.19","0.00562467","0.0481243","04/25/23 08:58:01 +190251000 ns","183.1902","01 29 02 6F BB","=> Event 1 Status query","29"
"116","183.21","0.00218767","0.0140423","04/25/23 08:58:01 +209918000 ns","183.2099","01 06","ACK <=",""
"117","183.214","0.00677067","0.00156233","04/25/23 08:58:01 +213668000 ns","183.2137","01 2B 03 18 00 CF","<= Event 1 Status reply","2B"
"118","183.252","0.00218767","0.0315813","04/25/23 08:58:01 +252020000 ns","183.252","01 06","ACK =>",""
"119","183.605","0.00562467","0.3503","04/25/23 08:58:01 +604508000 ns","183.6045","01 1A 02 00 E7","=> Static status query","1A"
"120","183.617","0.00229167","0.00694033","04/25/23 08:58:01 +617073000 ns","183.6171","01 06","ACK <=",""
"121","183.627","0.0106247","0.00718733","04/25/23 08:58:01 +626552000 ns","183.6266","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","1C"
"122","183.668","0.00218767","0.0307673","04/25/23 08:58:01 +667944000 ns","183.6679","01 06","ACK =>",""
"123","183.744","0.00562467","0.0734363","04/25/23 08:58:01 +743568000 ns","183.7436","01 2B 02 6F B9","=> Event 1 Status query","2B"
"124","183.758","0.00218767","0.00860033","04/25/23 08:58:01 +757793000 ns","183.7578","01 06","ACK <=",""
"125","183.767","0.00697967","0.00739533","04/25/23 08:58:01 +767376000 ns","183.7674","01 2D 03 18 00 C9","<= Event 1 Status reply","2D"
"126","183.812","0.00218767","0.0376483","04/25/23 08:58:01 +812004000 ns","183.812","01 06","ACK =>",""
