"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Type/SEQ"
"58","184.948","0.00562467","0.118135","04/25/23 08:54:09 +947758000 ns","184.9478","01 2D 02 6F BF","=> Event 1 Status query","2D"
"59","184.966","0.00218767","0.0122723","04/25/23 08:54:09 +965655000 ns","184.9657","01 06","ACK <=",""
"60","185.028","0.00937467","0.0600963","04/25/23 08:54:10 +27939000 ns","185.0279","01 1C 05 03 12 0C 03 F8","<= Static status reply","1C"
"61","185.156","0.00218767","0.118357","04/25/23 08:54:10 +155671000 ns","185.1557","01 06","ACK =>",""
"62","185.159","0.00697867","0.00163433","04/25/23 08:54:10 +159493000 ns","185.1595","01 2D 03 00 C0 11","<= Event 1 Status reply","2D"
"63","185.181","0.00218767","0.0145113","04/25/23 08:54:10 +180983000 ns","185.181","01 06","ACK =>",""
"64","185.206","0.00218767","0.0229163","04/25/23 08:54:10 +206087000 ns","185.2061","01 06","ACK =>",""
"65","185.232","0.00562467","0.0233333","04/25/23 08:54:10 +231608000 ns","185.2316","01 AE 02 81 D2","=> change mode","AE"
"66","185.243","0.00249967","0.00589833","04/25/23 08:54:10 +243131000 ns","185.2431","01 06","ACK <=",""
"67","185.269","0.00677067","0.0231243","04/25/23 08:54:10 +268755000 ns","185.2688","01 2E 03 98 00 4A","<= Event 1 Status reply","2E"
"68","185.302","0.00218767","0.0266013","04/25/23 08:54:10 +302127000 ns","185.3021","01 06","ACK =>",""
"69","185.315","0.00677067","0.0105853","04/25/23 08:54:10 +314900000 ns","185.3149","01 2F 03 80 00 53","<= Event 1 Status reply","2F"
"70","185.35","0.00218767","0.0284763","04/25/23 08:54:10 +350147000 ns","185.3501","01 06","ACK =>",""
"71","185.375","0.00562567","0.0231243","04/25/23 08:54:10 +375459000 ns","185.3755","01 1F 02 00 E2","=> Static status query","1F"
"72","185.388","0.00218767","0.00734933","04/25/23 08:54:10 +388434000 ns","185.3884","01 06","ACK <=",""
"73","185.399","0.00927067","0.00854133","04/25/23 08:54:10 +399163000 ns","185.3992","01 10 05 03 11 0C 03 F7","<= Static status reply","10"
"74","185.528","0.00562567","0.119314","04/25/23 08:54:10 +527748000 ns","185.5277","01 20 02 6F B2","=> Event 1 Status query","20"
"75","185.547","0.00218667","0.0134893","04/25/23 08:54:10 +546863000 ns","185.5469","01 06","ACK <=",""
"76","185.607","0.00947867","0.0575973","04/25/23 08:54:10 +606647000 ns","185.6066","01 10 05 03 11 0C 03 F7","<= Static status reply","10"
"77","185.732","0.00218767","0.115779","04/25/23 08:54:10 +731905000 ns","185.7319","01 06","ACK =>",""
"78","185.736","0.00677167","0.00212833","04/25/23 08:54:10 +736221000 ns","185.7362","01 21 03 98 00 45","<= Event 1 Status reply","21"
"79","185.757","0.00218667","0.0138083","04/25/23 08:54:10 +756801000 ns","185.7568","01 06","ACK =>",""
"80","185.765","0.00687467","0.00649733","04/25/23 08:54:10 +765485000 ns","185.7655","01 22 03 18 00 C6","<= Event 1 Status reply","22"
"81","185.773","0.00218767","0.000794333","04/25/23 08:54:10 +773154000 ns","185.7731","01 06","ACK =>",""
"82","185.892","0.00562467","0.116456","04/25/23 08:54:10 +891798000 ns","185.8918","01 11 02 00 EC","=> Static status query","11"
"83","185.905","0.00218767","0.00732433","04/25/23 08:54:10 +904747000 ns","185.9047","01 06","ACK <=",""
"84","185.915","0.0104167","0.00822933","04/25/23 08:54:10 +915164000 ns","185.9152","01 13 05 03 08 31 0C 03 E4","<= Static status reply","13"
"85","185.958","0.00218767","0.0324663","04/25/23 08:54:10 +958047000 ns","185.9581","01 06","ACK =>",""
"86","186.034","0.00562567","0.0737483","04/25/23 08:54:11 +33983000 ns","186.034","01 22 02 6F B0","=> Event 1 Status query","22"
"87","186.047","0.00218767","0.00700433","04/25/23 08:54:11 +46613000 ns","186.0466","01 06","ACK <=",""
"88","186.057","0.00677067","0.00781233","04/25/23 08:54:11 +56613000 ns","186.0566","01 24 03 18 00 C0","<= Event 1 Status reply","24"
"89","186.205","0.00218767","0.14143","04/25/23 08:54:11 +204814000 ns","186.2048","01 06","ACK =>",""
"90","186.432","0.00562467","0.224572","04/25/23 08:54:11 +431574000 ns","186.4316","01 13 02 00 EE","=> Static status query","13"
"91","186.447","0.00218667","0.00948633","04/25/23 08:54:11 +446685000 ns","186.4467","01 06","ACK <=",""
"92","186.456","0.0104167","0.00739633","04/25/23 08:54:11 +456268000 ns","186.4563","01 15 05 03 08 31 0C 03 E2","<= Static status reply","15"
"93","186.502","0.00218767","0.0357213","04/25/23 08:54:11 +502406000 ns","186.5024","01 06","ACK =>",""
"94","186.578","0.00562467","0.0733323","04/25/23 08:54:11 +577926000 ns","186.5779","01 24 02 6F B6","=> Event 1 Status query","24"
"95","186.59","0.00218767","0.00656233","04/25/23 08:54:11 +590113000 ns","186.5901","01 06","ACK <=",""
"96","186.599","0.00708267","0.00676433","04/25/23 08:54:11 +599065000 ns","186.5991","01 26 03 18 00 C2","<= Event 1 Status reply","26"
"97","186.749","0.00218767","0.142921","04/25/23 08:54:11 +749069000 ns","186.7491","01 06","ACK =>",""
"98","186.976","0.00562467","0.224683","04/25/23 08:54:11 +975940000 ns","186.9759","01 15 02 00 E8","=> Static status query","15"
"99","186.992","0.00218767","0.0103903","04/25/23 08:54:11 +991955000 ns","186.992","01 06","ACK <=",""
"100","187.002","0.0105207","0.00739633","04/25/23 08:54:12 +1539000 ns","187.0015","01 17 05 03 08 31 0C 03 E0","<= Static status reply","17"
"101","187.046","0.00218767","0.0341913","04/25/23 08:54:12 +46251000 ns","187.0462","01 06","ACK =>",""
"102","187.122","0.00562467","0.0735403","04/25/23 08:54:12 +121979000 ns","187.122","01 26 02 6F B4","=> Event 1 Status query","26"
"103","187.136","0.00260467","0.00819033","04/25/23 08:54:12 +135794000 ns","187.1358","01 06","ACK <=",""
"104","187.146","0.00687467","0.00739533","04/25/23 08:54:12 +145794000 ns","187.1458","01 28 03 18 00 CC","<= Event 1 Status reply","28"
"105","187.19","0.00218767","0.0373303","04/25/23 08:54:12 +189999000 ns","187.19","01 06","ACK =>",""
"106","187.518","0.00562567","0.325612","04/25/23 08:54:12 +517799000 ns","187.5178","01 17 02 00 EA","=> Static status query","17"
"107","187.537","0.00218767","0.0136973","04/25/23 08:54:12 +537122000 ns","187.5371","01 06","ACK <=",""
"108","187.548","0.0104167","0.00874333","04/25/23 08:54:12 +548053000 ns","187.548","01 19 05 03 08 31 0C 03 EE","<= Static status reply","19"
"109","187.59","0.00218767","0.0316203","04/25/23 08:54:12 +590090000 ns","187.5901","01 06","ACK =>",""
"110","187.666","0.00562467","0.0737483","04/25/23 08:54:12 +666026000 ns","187.666","01 28 02 6F BA","=> Event 1 Status query","28"
"111","187.682","0.00218767","0.0104553","04/25/23 08:54:12 +682106000 ns","187.6821","01 06","ACK <=",""
"112","187.692","0.00697867","0.00802133","04/25/23 08:54:12 +692315000 ns","187.6923","01 2A 03 18 00 CE","<= Event 1 Status reply","2A"
"113","187.734","0.00218767","0.0348563","04/25/23 08:54:12 +734150000 ns","187.7341","01 06","ACK =>",""
"114","188.061","0.00562467","0.324675","04/25/23 08:54:13 +61013000 ns","188.061","01 19 02 00 E4","=> Static status query","19"
"115","188.074","0.00218767","0.00731133","04/25/23 08:54:13 +73949000 ns","188.0739","01 06","ACK <=",""
"116","188.083","0.0105207","0.00687433","04/25/23 08:54:13 +83011000 ns","188.083","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","1B"
"117","188.212","0.00562567","0.118207","04/25/23 08:54:13 +211739000 ns","188.2117","01 2A 02 6F B8","=> Event 1 Status query","2A"
"118","188.229","0.00239567","0.0115753","04/25/23 08:54:13 +228940000 ns","188.2289","01 06","ACK <=",""
"119","188.295","0.0106257","0.0634293","04/25/23 08:54:13 +294765000 ns","188.2948","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","1B"
"120","188.317","0.00218667","0.0113473","04/25/23 08:54:13 +316738000 ns","188.3167","01 06","ACK =>",""
"121","188.321","0.00718767","0.00167333","04/25/23 08:54:13 +320598000 ns","188.3206","01 2C 03 18 00 C8","<= Event 1 Status reply","2C"
"122","188.333","0.00218767","0.00499333","04/25/23 08:54:13 +332779000 ns","188.3328","01 06","ACK =>",""
"123","188.358","0.00218767","0.0230203","04/25/23 08:54:13 +357987000 ns","188.358","01 06","ACK =>",""
"124","188.61","0.00562467","0.249579","04/25/23 08:54:13 +609754000 ns","188.6098","01 1B 02 00 E6","=> Static status query","1B"
"125","188.63","0.00218767","0.0144653","04/25/23 08:54:13 +629844000 ns","188.6298","01 06","ACK <=",""
"126","188.641","0.0105207","0.00885433","04/25/23 08:54:13 +640886000 ns","188.6409","01 1D 05 03 08 31 0C 03 EA","<= Static status reply","1D"
"127","188.678","0.00218667","0.0265753","04/25/23 08:54:13 +677982000 ns","188.678","01 06","ACK =>",""
"128","188.754","0.00562567","0.0735403","04/25/23 08:54:13 +753709000 ns","188.7537","01 2C 02 6F BE","=> Event 1 Status query","2C"
"129","188.766","0.00218667","0.00685533","04/25/23 08:54:13 +766190000 ns","188.7662","01 06","ACK <=",""
"130","188.775","0.00697967","0.00635433","04/25/23 08:54:13 +774731000 ns","188.7747","01 2E 03 18 00 CA","<= Event 1 Status reply","2E"
"131","188.925","0.00218767","0.143343","04/25/23 08:54:13 +925054000 ns","188.925","01 06","ACK =>",""
"132","189.152","0.00562467","0.224996","04/25/23 08:54:14 +152238000 ns","189.1522","01 1D 02 00 E0","=> Static status query","1D"
"133","189.165","0.00229167","0.00714833","04/25/23 08:54:14 +165011000 ns","189.165","01 06","ACK <=",""
"134","189.174","0.0106247","0.00718733","04/25/23 08:54:14 +174490000 ns","189.1745","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","1F"
"135","189.222","0.00218767","0.0368093","04/25/23 08:54:14 +221924000 ns","189.2219","01 06","ACK =>",""
"136","189.272","0.00562467","0.0480203","04/25/23 08:54:14 +272132000 ns","189.2721","01 2E 02 6F BC","=> Event 1 Status query","2E"
"137","189.289","0.00250067","0.0116203","04/25/23 08:54:14 +289377000 ns","189.2894","01 06","ACK <=",""
"138","189.299","0.00687567","0.00749933","04/25/23 08:54:14 +299377000 ns","189.2994","01 20 03 18 00 C4","<= Event 1 Status reply","20"
"139","189.334","0.00218667","0.0277533","04/25/23 08:54:14 +334006000 ns","189.334","01 06","ACK =>",""
"140","189.687","0.00562467","0.350821","04/25/23 08:54:14 +687014000 ns","189.687","01 1F 02 00 E2","=> Static status query","1F"
"141","189.706","0.00218667","0.0137893","04/25/23 08:54:14 +706428000 ns","189.7064","01 06","ACK <=",""
"142","189.717","0.0105207","0.00885433","04/25/23 08:54:14 +717469000 ns","189.7175","01 11 05 03 08 31 0C 03 E6","<= Static status reply","11"
"143","189.844","0.00562567","0.115896","04/25/23 08:54:14 +843886000 ns","189.8439","01 20 02 6F B2","=> Event 1 Status query","20"
"144","189.856","0.00218667","0.00658833","04/25/23 08:54:14 +856100000 ns","189.8561","01 06","ACK <=",""
"145","189.926","0.0106247","0.0674993","04/25/23 08:54:14 +925786000 ns","189.9258","01 11 05 03 08 31 0C 03 E6","<= Static status reply","11"
"146","190.052","0.00218767","0.115388","04/25/23 08:54:15 +51799000 ns","190.0518","01 06","ACK =>",""
"147","190.056","0.00687467","0.00168033","04/25/23 08:54:15 +55667000 ns","190.0557","01 22 03 18 00 C6","<= Event 1 Status reply","22"
"148","190.077","0.00218667","0.0140493","04/25/23 08:54:15 +76591000 ns","190.0766","01 06","ACK =>",""
"149","190.102","0.00218767","0.0229163","04/25/23 08:54:15 +101694000 ns","190.1017","01 06","ACK =>",""
"150","190.227","0.00562567","0.123539","04/25/23 08:54:15 +227421000 ns","190.2274","01 11 02 00 EC","=> Static status query","11"
"151","190.24","0.00218667","0.00740233","04/25/23 08:54:15 +240449000 ns","190.2404","01 06","ACK <=",""
"152","190.25","0.0105207","0.00687533","04/25/23 08:54:15 +249511000 ns","190.2495","01 13 05 03 08 31 0C 03 E4","<= Static status reply","13"
"153","190.294","0.00218767","0.0335343","04/25/23 08:54:15 +293566000 ns","190.2936","01 06","ACK =>",""
"154","190.369","0.00562467","0.0732283","04/25/23 08:54:15 +368982000 ns","190.369","01 22 02 6F B0","=> Event 1 Status query","22"
"155","190.382","0.00218767","0.00780533","04/25/23 08:54:15 +382412000 ns","190.3824","01 06","ACK <=",""
"156","190.392","0.00697967","0.00718733","04/25/23 08:54:15 +391787000 ns","190.3918","01 24 03 18 00 C0","<= Event 1 Status reply","24"
"157","190.541","0.00218767","0.141976","04/25/23 08:54:15 +540743000 ns","190.5407","01 06","ACK =>",""
"158","190.768","0.00562567","0.224787","04/25/23 08:54:15 +767718000 ns","190.7677","01 13 02 00 EE","=> Static status query","13"
"159","190.785","0.00218767","0.0114313","04/25/23 08:54:15 +784775000 ns","190.7848","01 06","ACK <=",""
"160","190.794","0.0104167","0.00739533","04/25/23 08:54:15 +794358000 ns","190.7944","01 15 05 03 08 31 0C 03 E2","<= Static status reply","15"
"161","190.838","0.00218667","0.0332553","04/25/23 08:54:15 +838030000 ns","190.838","01 06","ACK =>",""
"162","190.914","0.00562467","0.0735413","04/25/23 08:54:15 +913758000 ns","190.9138","01 24 02 6F B6","=> Event 1 Status query","24"
"163","190.929","0.00229167","0.00965433","04/25/23 08:54:15 +929037000 ns","190.929","01 06","ACK <=",""
"164","190.938","0.00697867","0.00708333","04/25/23 08:54:15 +938412000 ns","190.9384","01 26 03 18 00 C2","<= Event 1 Status reply","26"
"165","190.982","0.00218767","0.0364903","04/25/23 08:54:15 +981881000 ns","190.9819","01 06","ACK =>",""
"166","191.31","0.00562467","0.325509","04/25/23 08:54:16 +309578000 ns","191.3096","01 15 02 00 E8","=> Static status query","15"
"167","191.33","0.00218767","0.0143223","04/25/23 08:54:16 +329525000 ns","191.3295","01 06","ACK <=",""
"168","191.341","0.0104167","0.00895833","04/25/23 08:54:16 +340671000 ns","191.3407","01 17 05 03 08 31 0C 03 E0","<= Static status reply","17"
"169","191.382","0.00218767","0.0307803","04/25/23 08:54:16 +381868000 ns","191.3819","01 06","ACK =>",""
"170","191.432","0.00562467","0.0483323","04/25/23 08:54:16 +432388000 ns","191.4324","01 26 02 6F B4","=> Event 1 Status query","26"
"171","191.445","0.00218667","0.00702533","04/25/23 08:54:16 +445038000 ns","191.445","01 06","ACK <=",""
"172","191.454","0.00718767","0.00635433","04/25/23 08:54:16 +453579000 ns","191.4536","01 28 03 18 00 CC","<= Event 1 Status reply","28"
"173","191.494","0.00218667","0.0332873","04/25/23 08:54:16 +494054000 ns","191.494","01 06","ACK =>",""
"174","191.847","0.00562567","0.350723","04/25/23 08:54:16 +846964000 ns","191.847","01 17 02 00 EA","=> Static status query","17"
"175","191.861","0.00218767","0.00866433","04/25/23 08:54:16 +861254000 ns","191.8613","01 06","ACK <=",""
"176","191.871","0.0104167","0.00750033","04/25/23 08:54:16 +870942000 ns","191.8709","01 19 05 03 08 31 0C 03 EE","<= Static status reply","19"
"177","191.91","0.00218767","0.0285213","04/25/23 08:54:16 +909880000 ns","191.9099","01 06","ACK =>",""
"178","191.986","0.00562467","0.0742693","04/25/23 08:54:16 +986337000 ns","191.9863","01 28 02 6F BA","=> Event 1 Status query","28"
"179","192.004","0.00218767","0.0120963","04/25/23 08:54:17 +4058000 ns","192.0041","01 06","ACK <=",""
"180","192.008","0.00677067","0.00156233","04/25/23 08:54:17 +7808000 ns","192.0078","01 2A 03 18 00 CE","<= Event 1 Status reply","2A"
"181","192.157","0.00218767","0.142269","04/25/23 08:54:17 +156848000 ns","192.1568","01 06","ACK =>",""
"182","192.383","0.00562467","0.224059","04/25/23 08:54:17 +383095000 ns","192.3831","01 19 02 00 E4","=> Static status query","19"
"183","192.396","0.00218767","0.00697233","04/25/23 08:54:17 +395692000 ns","192.3957","01 06","ACK <=",""
"184","192.405","0.0102077","0.00718733","04/25/23 08:54:17 +405067000 ns","192.4051","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","1B"
"185","192.532","0.00562467","0.116463","04/25/23 08:54:17 +531738000 ns","192.5317","01 2A 02 6F B8","=> Event 1 Status query","2A"
"186","192.551","0.00218767","0.0133203","04/25/23 08:54:17 +550683000 ns","192.5507","01 06","ACK <=",""
"187","192.613","0.0106247","0.0606173","04/25/23 08:54:17 +613488000 ns","192.6135","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","1B"
"188","192.74","0.00218767","0.115538","04/25/23 08:54:17 +739651000 ns","192.7397","01 06","ACK =>",""
"189","192.744","0.00677067","0.00174433","04/25/23 08:54:17 +743583000 ns","192.7436","01 2C 03 18 00 C8","<= Event 1 Status reply","2C"
"190","192.765","0.00218767","0.0144013","04/25/23 08:54:17 +764755000 ns","192.7648","01 06","ACK =>",""
"191","192.79","0.00218767","0.0231243","04/25/23 08:54:17 +790067000 ns","192.7901","01 06","ACK =>",""
"192","192.941","0.00562467","0.149157","04/25/23 08:54:17 +941412000 ns","192.9414","01 1B 02 00 E6","=> Static status query","1B"
"193","192.954","0.00218767","0.00694633","04/25/23 08:54:17 +953983000 ns","192.954","01 06","ACK <=",""
"194","192.964","0.0104167","0.00760433","04/25/23 08:54:17 +963775000 ns","192.9638","01 1D 05 03 08 31 0C 03 EA","<= Static status reply","1D"
"195","193.092","0.00562467","0.117322","04/25/23 08:54:18 +91514000 ns","193.0915","01 2C 02 6F BE","=> Event 1 Status query","2C"
"196","193.104","0.00218767","0.00703733","04/25/23 08:54:18 +104176000 ns","193.1042","01 06","ACK <=",""
"197","193.172","0.0107287","0.0657283","04/25/23 08:54:18 +172092000 ns","193.1721","01 1D 05 03 08 31 0C 03 EA","<= Static status reply","1D"
"198","193.3","0.00218767","0.116918","04/25/23 08:54:18 +299739000 ns","193.2997","01 06","ACK =>",""
"199","193.304","0.00708267","0.00171233","04/25/23 08:54:18 +303639000 ns","193.3036","01 2E 03 18 00 CA","<= Event 1 Status reply","2E"
"200","193.325","0.00218667","0.0139133","04/25/23 08:54:18 +324635000 ns","193.3246","01 06","ACK =>",""
"201","193.35","0.00218667","0.0230213","04/25/23 08:54:18 +349843000 ns","193.3498","01 06","ACK =>",""
"202","193.476","0.00562567","0.123956","04/25/23 08:54:18 +475986000 ns","193.476","01 1D 02 00 E0","=> Static status query","1D"
"203","193.489","0.00218767","0.00691333","04/25/23 08:54:18 +488525000 ns","193.4885","01 06","ACK <=",""
"204","193.498","0.0102087","0.00729133","04/25/23 08:54:18 +498004000 ns","193.498","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","1F"
"205","193.542","0.00218767","0.0333973","04/25/23 08:54:18 +541610000 ns","193.5416","01 06","ACK =>",""
"206","193.617","0.00562467","0.0733323","04/25/23 08:54:18 +617130000 ns","193.6171","01 2E 02 6F BC","=> Event 1 Status query","2E"
"207","193.629","0.00218767","0.00658833","04/25/23 08:54:18 +629343000 ns","193.6293","01 06","ACK <=",""
"208","193.639","0.00677067","0.00708333","04/25/23 08:54:18 +638614000 ns","193.6386","01 20 03 18 00 C4","<= Event 1 Status reply","20"
"209","193.793","0.00218767","0.147464","04/25/23 08:54:18 +792849000 ns","193.7928","01 06","ACK =>",""
"210","194.02","0.00562467","0.224475","04/25/23 08:54:19 +19512000 ns","194.0195","01 1F 02 00 E2","=> Static status query","1F"
"211","194.033","0.00218767","0.00740233","04/25/23 08:54:19 +32539000 ns","194.0325","01 06","ACK <=",""
"212","194.042","0.0106247","0.00697933","04/25/23 08:54:19 +41706000 ns","194.0417","01 11 05 03 08 31 0C 03 E6","<= Static status reply","11"
"213","194.086","0.00218767","0.0334303","04/25/23 08:54:19 +85761000 ns","194.0858","01 06","ACK =>",""
"214","194.162","0.00562567","0.0737483","04/25/23 08:54:19 +161697000 ns","194.1617","01 20 02 6F B2","=> Event 1 Status query","20"
"215","194.175","0.00218767","0.00802033","04/25/23 08:54:19 +175343000 ns","194.1753","01 06","ACK <=",""
"216","194.185","0.00687467","0.00739533","04/25/23 08:54:19 +184926000 ns","194.1849","01 22 03 18 00 C6","<= Event 1 Status reply","22"
"217","194.23","0.00218767","0.0378123","04/25/23 08:54:19 +229613000 ns","194.2296","01 06","ACK =>",""
"218","194.557","0.00562467","0.325196","04/25/23 08:54:19 +556997000 ns","194.557","01 11 02 00 EC","=> Static status query","11"
"219","194.576","0.00218767","0.0137303","04/25/23 08:54:19 +576352000 ns","194.5764","01 06","ACK <=",""
