"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Type/SEQ"
"1","148.99","0.00104167","148.99","04/25/23 08:53:33 +990034000 ns","148.99","E0","",""
"2","151.56","0.00562467","2.56919","04/25/23 08:53:36 +560264000 ns","151.5603","01 D0 02 FE D3","=> Initialise","D0"
"3","151.863","0.00562467","0.296765","04/25/23 08:53:36 +862654000 ns","151.8627","01 D0 02 FE D3","=> Initialise","D0"
"4","152.165","0.00562567","0.296759","04/25/23 08:53:37 +165038000 ns","152.165","01 D0 02 FE D3","=> Initialise","D0"
"5","154.781","0.00562467","2.61025","04/25/23 08:53:39 +780912000 ns","154.7809","01 D0 02 FE D3","=> Initialise","D0"
"6","154.794","0.00218767","0.00723333","04/25/23 08:53:39 +793770000 ns","154.7938","01 06","ACK <=",""
"7","154.815","0.0108327","0.0191663","04/25/23 08:53:39 +815124000 ns","154.8151","01 D0 04 08 31 0B 08 32 29","<= Initialise reply","D0"
"8","154.856","0.00218767","0.0301623","04/25/23 08:53:39 +856119000 ns","154.8561","01 06","ACK =>",""
"9","164.794","0.00562467","9.93561","04/25/23 08:53:49 +793920000 ns","164.7939","01 61 02 7F E3","<= EBLU Query Reply","61"
"10","164.839","0.00218767","0.0398623","04/25/23 08:53:49 +839407000 ns","164.8394","01 06","ACK =>",""
"11","164.843","0.00718667","0.00179733","04/25/23 08:53:49 +843392000 ns","164.8434","01 22 03 80 C0 9E","<= Event 1 Status reply","22"
"12","164.887","0.00218767","0.0366403","04/25/23 08:53:49 +887219000 ns","164.8872","01 06","ACK =>",""
"13","165.768","0.00677067","0.87852","04/25/23 08:53:50 +767927000 ns","165.7679","01 C1 03 55 55 3D","=> Update breakthrough force","C1"
"14","165.783","0.00218767","0.00799433","04/25/23 08:53:50 +782692000 ns","165.7827","01 06","ACK <=",""
"15","165.791","0.00708367","0.00614533","04/25/23 08:53:50 +791025000 ns","165.791","01 83 03 55 55 7F","<= Breakthrough force reply","83"
"16","165.831","0.00218767","0.0333583","04/25/23 08:53:50 +831467000 ns","165.8315","01 06","ACK =>",""
"17","168.982","0.00562467","3.14836","04/25/23 08:53:53 +982013000 ns","168.982","01 B2 02 FF B0","=> EBLU Query","B2"
"18","168.994","0.00239567","0.00626333","04/25/23 08:53:53 +993901000 ns","168.9939","01 06","ACK <=",""
"19","169.003","0.00562467","0.00697233","04/25/23 08:53:54 +3269000 ns","169.0033","01 64 02 7F E6","<= EBLU Query Reply","64"
"20","169.047","0.00218767","0.0383263","04/25/23 08:53:54 +47220000 ns","169.0472","01 06","ACK =>",""
"21","172.223","0.00562567","3.17346","04/25/23 08:53:57 +222869000 ns","172.2229","01 B3 02 FF B1","=> EBLU Query","B3"
"22","172.239","0.00218767","0.0104613","04/25/23 08:53:57 +238956000 ns","172.239","01 06","ACK <=",""
"23","172.248","0.00562567","0.00697233","04/25/23 08:53:57 +248116000 ns","172.2481","01 65 02 7F E7","<= EBLU Query Reply","65"
"24","172.397","0.00218767","0.143291","04/25/23 08:53:57 +397033000 ns","172.397","01 06","ACK =>",""
"25","175.465","0.00562467","3.06607","04/25/23 08:54:00 +465289000 ns","175.4653","01 B4 02 FF B6","=> EBLU Query","B4"
"26","175.484","0.00218767","0.0128903","04/25/23 08:54:00 +483804000 ns","175.4838","01 06","ACK <=",""
"27","175.488","0.00561867","0.00156233","04/25/23 08:54:00 +487554000 ns","175.4875","01 66 02 7F E4","<= EBLU Query Reply","66"
"28","175.527","0.00218767","0.0335733","04/25/23 08:54:00 +526746000 ns","175.5267","01 06","ACK =>",""
"29","178.682","0.00562467","3.15305","04/25/23 08:54:03 +681979000 ns","178.682","01 B5 02 FF B7","=> EBLU Query","B5"
"30","178.698","0.00218767","0.0106313","04/25/23 08:54:03 +698235000 ns","178.6982","01 06","ACK <=",""
"31","178.708","0.00562467","0.00718733","04/25/23 08:54:03 +707610000 ns","178.7076","01 67 02 7F E5","<= EBLU Query Reply","67"
"32","178.743","0.00218767","0.0294723","04/25/23 08:54:03 +742707000 ns","178.7427","01 06","ACK =>",""
"33","181.899","0.00562467","3.1543","04/25/23 08:54:06 +899190000 ns","181.8992","01 B6 02 FF B4","=> EBLU Query","B6"
"34","181.913","0.00250067","0.00785133","04/25/23 08:54:06 +912666000 ns","181.9127","01 06","ACK <=",""
"35","181.922","0.00604167","0.00718733","04/25/23 08:54:06 +922354000 ns","181.9223","01 68 02 7F EA","<= EBLU Query Reply","68"
"36","181.959","0.00218767","0.0301683","04/25/23 08:54:06 +958564000 ns","181.9586","01 06","ACK =>",""
"37","182.765","0.00562467","0.804146","04/25/23 08:54:07 +764898000 ns","182.7649","01 17 02 00 EA","=> Static status query","17"
"38","182.781","0.00218767","0.0104103","04/25/23 08:54:07 +780933000 ns","182.7809","01 06","ACK <=",""
"39","182.791","0.00947867","0.00739533","04/25/23 08:54:07 +790516000 ns","182.7905","01 19 05 03 12 0C 03 FD","<= Static status reply","19"
"40","182.916","0.00562467","0.11563","04/25/23 08:54:07 +915625000 ns","182.9156","01 28 02 6F BA","=> Event 1 Status query","28"
"41","182.928","0.00218667","0.00696633","04/25/23 08:54:07 +928216000 ns","182.9282","01 06","ACK <=",""
"42","182.999","0.00947967","0.0686383","04/25/23 08:54:07 +999041000 ns","182.999","01 19 05 03 12 0C 03 FD","<= Static status reply","19"
"43","183.124","0.00218767","0.115225","04/25/23 08:54:08 +123746000 ns","183.1237","01 06","ACK =>",""
"44","183.128","0.00677067","0.00236933","04/25/23 08:54:08 +128303000 ns","183.1283","01 2A 03 00 C0 16","<= Event 1 Status reply","2A"
"45","183.149","0.00218767","0.0139843","04/25/23 08:54:08 +149058000 ns","183.1491","01 06","ACK =>",""
"46","183.174","0.00218067","0.0229163","04/25/23 08:54:08 +174162000 ns","183.1742","01 06","ACK =>",""
"47","183.2","0.00562467","0.0233333","04/25/23 08:54:08 +199676000 ns","183.1997","01 A9 02 82 D6","=> change mode","A9"
"48","183.214","0.00218667","0.00872433","04/25/23 08:54:08 +214025000 ns","183.214","01 06","ACK <=",""
"49","183.357","0.00562467","0.140961","04/25/23 08:54:08 +357173000 ns","183.3572","01 5A 02 03 A4","=> Set credit score maximum","5A"
"50","183.374","0.00218767","0.0112113","04/25/23 08:54:08 +374009000 ns","183.374","01 06","ACK <=",""
"51","183.517","0.00562567","0.140973","04/25/23 08:54:08 +517170000 ns","183.5172","01 1B 02 00 E6","=> Static status query","1B"
"52","183.536","0.00218767","0.0127663","04/25/23 08:54:08 +535562000 ns","183.5356","01 06","ACK <=",""
"53","183.546","0.00947867","0.00833333","04/25/23 08:54:08 +546083000 ns","183.5461","01 1B 05 03 12 0C 03 FF","<= Static status reply","1B"
"54","183.591","0.00218667","0.0349413","04/25/23 08:54:08 +590503000 ns","183.5905","01 06","ACK =>",""
"55","184.798","0.00562467","1.20559","04/25/23 08:54:09 +798282000 ns","184.7983","01 1C 02 00 E1","=> Static status query","1C"
"56","184.811","0.00218667","0.00738933","04/25/23 08:54:09 +811296000 ns","184.8113","01 06","ACK <=",""
"57","184.82","0.00937567","0.00676433","04/25/23 08:54:09 +820247000 ns","184.8203","01 1C 05 03 12 0C 03 F8","<= Static status reply","1C"
