"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.098009","0.00218767","0.098009","05/02/23 13:13:22 +98009000 ns","0.098009","01 06","ACK <=","","","","","","","","","","","",""
"2","0.177272","0.0106247","0.0770753","05/02/23 13:13:22 +177272000 ns","0.177272","01 18 05 03 08 31 0C 03 EF","<= Static status reply","","","","18","","","","","","","",""
"3","0.192272","0.00843667","0.00437533","05/02/23 13:13:22 +192272000 ns","0.192272","01 29 03 08 31 03 D7","<= Event 1 Status reply","01 03","Emergency Open, Paddles Forced","","29","","","","","","","",""
"4","0.213209","0.00218767","0.0125003","05/02/23 13:13:22 +213209000 ns","0.213209","01 06","ACK <=","","","","","","","","","","","",""
"5","0.246535","0.0102087","0.0311383","05/02/23 13:13:22 +246535000 ns","0.246535","01 1A 05 03 08 31 0C 03 ED","<= Static status reply","","","","1A","","","","","","","",""
"6","0.421109","0.00218767","0.164365","05/02/23 13:13:22 +421109000 ns","0.421109","01 06","ACK <=","","","","","","","","","","","",""
"7","0.4309","0.0106257","0.00760333","05/02/23 13:13:22 +430900000 ns","0.4309","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","","","","1B","","","","","","","",""
"8","0.552239","0.00218767","0.110713","05/02/23 13:13:22 +552239000 ns","0.552239","01 06","ACK <=","","","","","","","","","","","",""
"9","0.639426","0.0107287","0.0849993","05/02/23 13:13:22 +639426000 ns","0.639426","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","","","","1B","","","","","","","",""
"10","0.656404","0.00801467","0.00624933","05/02/23 13:13:22 +656404000 ns","0.656404","01 2C 03 08 31 03 D2","<= Event 1 Status reply","01 03","Emergency Open, Paddles Forced","","2C","","","","","","","",""
"11","0.678793","0.00218767","0.0143743","05/02/23 13:13:22 +678793000 ns","0.678793","01 06","ACK <=","","","","","","","","","","","",""
"12","0.712334","0.0102087","0.0313533","05/02/23 13:13:22 +712334000 ns","0.712334","01 1D 05 03 08 31 0C 03 EA","<= Static status reply","","","","1D","","","","","","","",""
"13","0.887214","0.00239567","0.164671","05/02/23 13:13:22 +887214000 ns","0.887214","01 06","ACK <=","","","","","","","","","","","",""
"14","0.897214","0.0103127","0.00760433","05/02/23 13:13:22 +897214000 ns","0.897214","01 1E 05 03 08 31 0C 03 E9","<= Static status reply","","","","1E","","","","","","","",""
"15","1.01981","0.00260367","0.112283","05/02/23 13:13:23 +19810000 ns","1.01981","01 06","ACK <=","","","","","","","","","","","",""
"16","1.10595","0.0105207","0.0835343","05/02/23 13:13:23 +105948000 ns","1.105948","01 1E 05 03 08 31 0C 03 E9","<= Static status reply","","","","1E","","","","","","","",""
"17","1.12293","0.00812567","0.00645733","05/02/23 13:13:23 +122926000 ns","1.122926","01 2F 03 08 31 03 D1","<= Event 1 Status reply","01 03","Emergency Open, Paddles Forced","","2F","","","","","","","",""
"18","1.14532","0.00218767","0.0142703","05/02/23 13:13:23 +145322000 ns","1.145322","01 06","ACK <=","","","","","","","","","","","",""
"19","1.17772","0.0103057","0.0302073","05/02/23 13:13:23 +177717000 ns","1.177717","01 10 05 03 08 31 0C 03 E7","<= Static status reply","","","","10","","","","","","","",""
"20","1.35416","0.00218667","0.166137","05/02/23 13:13:23 +354160000 ns","1.35416","01 06","ACK <=","","","","","","","","","","","",""
"21","1.36385","0.0103127","0.00750033","05/02/23 13:13:23 +363847000 ns","1.363847","01 11 05 03 08 31 0C 03 E6","<= Static status reply","","","","11","","","","","","","",""
"22","1.48801","0.00218767","0.113845","05/02/23 13:13:23 +488005000 ns","1.488005","01 06","ACK <=","","","","","","","","","","","",""
"23","1.57237","0.0106247","0.0821793","05/02/23 13:13:23 +572372000 ns","1.572372","01 11 05 03 08 31 0C 03 E6","<= Static status reply","","","","11","","","","","","","",""
"24","1.59071","0.00832667","0.00770833","05/02/23 13:13:23 +590705000 ns","1.590705","01 22 03 08 31 03 DC","<= Event 1 Status reply","01 03","Emergency Open, Paddles Forced","","22","","","","","","","",""
"25","1.61289","0.00218667","0.0138543","05/02/23 13:13:23 +612886000 ns","1.612886","01 06","ACK <=","","","","","","","","","","","",""
"26","1.6457","0.00677067","0.0306253","05/02/23 13:13:23 +645698000 ns","1.645698","01 23 03 80 03 5C","<= Event 1 Status reply","80 03","Paddles Forced","","23","","","","","","","",""
"27","1.78298","0.0113547","0.130511","05/02/23 13:13:23 +782980000 ns","1.78298","01 14 05 03 08 31 0C 03 E3","<= Static status reply","","","","14","","","","","","","",""
"28","1.80558","0.00218667","0.0112433","05/02/23 13:13:23 +805578000 ns","1.805578","01 06","ACK <=","","","","","","","","","","","",""
"29","1.94328","0.00708367","0.135512","05/02/23 13:13:23 +943277000 ns","1.943277","01 25 03 00 03 DA","<= Event 1 Status reply","00 03","Paddles Forced","","25","","","","","","","",""
"30","2.06452","0.00218667","0.114158","05/02/23 13:13:24 +64519000 ns","2.064519","01 06","ACK <=","","","","","","","","","","","",""
"31","2.15097","0.00718767","0.0842633","05/02/23 13:13:24 +150969000 ns","2.150969","01 25 03 00 03 DA","<= Event 1 Status reply","00 03","Paddles Forced","","25","","","","","","","",""
"32","2.26513","0.0103127","0.10697","05/02/23 13:13:24 +265127000 ns","2.265127","01 16 05 03 08 31 0C 03 E1","<= Static status reply","","","","16","","","","","","","",""
"33","2.38751","0.00218767","0.112074","05/02/23 13:13:24 +387514000 ns","2.387514","01 06","ACK <=","","","","","","","","","","","",""
"34","2.39699","0.00677067","0.00729133","05/02/23 13:13:24 +396993000 ns","2.396993","01 27 03 00 03 D8","<= Event 1 Status reply","00 03","Paddles Forced","","27","","","","","","","",""
"35","2.5751","0.00218767","0.171338","05/02/23 13:13:24 +575102000 ns","2.575102","01 06","ACK <=","","","","","","","","","","","",""
"36","2.58625","0.0102087","0.00895833","05/02/23 13:13:24 +586248000 ns","2.586248","01 18 05 03 08 31 0C 03 EF","<= Static status reply","","","","18","","","","","","","",""
"37","2.70801","0.00218767","0.111553","05/02/23 13:13:24 +708010000 ns","2.70801","01 06","ACK <=","","","","","","","","","","","",""
"38","2.79488","0.0106247","0.0846793","05/02/23 13:13:24 +794877000 ns","2.794877","01 18 05 03 08 31 0C 03 EF","<= Static status reply","","","","18","","","","","","","",""
"39","2.81311","0.00677067","0.00760433","05/02/23 13:13:24 +813106000 ns","2.813106","01 29 03 80 02 57","<= Event 1 Status reply","80 02","Paddles Forced","","29","","","","","","","",""
"40","2.92518","0.00718767","0.105304","05/02/23 13:13:24 +925181000 ns","2.925181","01 2A 03 00 02 D4","<= Event 1 Status reply","00 02","Paddles Forced","","2A","","","","","","","",""
"41","2.94164","0.00677067","0.00927033","05/02/23 13:13:24 +941639000 ns","2.941639","01 2B 03 80 00 57","<= Event 1 Status reply","80 00","","","2B","","","","","","","",""
"42","2.96445","0.00218767","0.0160353","05/02/23 13:13:24 +964445000 ns","2.964445","01 06","ACK <=","","","","","","","","","","","",""
"43","3.10235","0.0102077","0.13572","05/02/23 13:13:25 +102353000 ns","3.102353","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","","","","1C","","","","","","","",""
"44","3.22411","0.00218767","0.111554","05/02/23 13:13:25 +224115000 ns","3.224115","01 06","ACK <=","","","","","","","","","","","",""
"45","3.31254","0.0106247","0.0862413","05/02/23 13:13:25 +312544000 ns","3.312544","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","","","","1C","","","","","","","",""
"46","3.32786","0.00687467","0.00468833","05/02/23 13:13:25 +327857000 ns","3.327857","01 2D 03 00 00 D1","<= Event 1 Status reply","00 00","","","2D","","","","","","","",""
"47","3.43931","0.00677067","0.104575","05/02/23 13:13:25 +439307000 ns","3.439307","01 2E 03 90 00 42","<= Event 1 Status reply","90 00","","","2E","","","","","","","",""
"48","3.45566","0.00718767","0.00958233","05/02/23 13:13:25 +455660000 ns","3.45566","01 2F 03 98 00 4B","<= Event 1 Status reply","98 00","","","2F","","","","","","","",""
"49","3.47857","0.00218767","0.0157223","05/02/23 13:13:25 +478570000 ns","3.47857","01 06","ACK <=","","","","","","","","","","","",""
"50","3.61648","0.0106247","0.13572","05/02/23 13:13:25 +616478000 ns","3.616478","01 10 05 03 08 31 0C 03 E7","<= Static status reply","","","","10","","","","","","","",""
"51","3.63908","0.00218767","0.0119793","05/02/23 13:13:25 +639082000 ns","3.639082","01 06","ACK <=","","","","","","","","","","","",""
"52","3.77626","0.00677067","0.13499","05/02/23 13:13:25 +776260000 ns","3.77626","01 21 03 18 00 C5","<= Event 1 Status reply","18 00","","","21","","","","","","","",""
"53","4.05582","0.00218667","0.272789","05/02/23 13:13:26 +55820000 ns","4.05582","01 06","ACK <=","","","","","","","","","","","",""
"54","4.06561","0.0106247","0.00760433","05/02/23 13:13:26 +65611000 ns","4.065611","01 12 05 03 08 31 0C 03 E5","<= Static status reply","","","","12","","","","","","","",""
"55","4.18894","0.00218767","0.1127","05/02/23 13:13:26 +188936000 ns","4.188936","01 06","ACK <=","","","","","","","","","","","",""
"56","4.27757","0.0104157","0.0864503","05/02/23 13:13:26 +277574000 ns","4.277574","01 12 05 03 08 31 0C 03 E5","<= Static status reply","","","","12","","","","","","","",""
"57","4.29216","0.00687467","0.00416733","05/02/23 13:13:26 +292157000 ns","4.292157","01 23 03 18 00 C7","<= Event 1 Status reply","18 00","","","23","","","","","","","",""
"58","4.31361","0.00218767","0.0145763","05/02/23 13:13:26 +313608000 ns","4.313608","01 06","ACK <=","","","","","","","","","","","",""
"59","4.4511","0.0102087","0.135303","05/02/23 13:13:26 +451099000 ns","4.451099","01 14 05 03 08 31 0C 03 E3","<= Static status reply","","","","14","","","","","","","",""
"60","4.47349","0.00218767","0.0121873","05/02/23 13:13:26 +473495000 ns","4.473495","01 06","ACK <=","","","","","","","","","","","",""
"61","4.61151","0.00697867","0.135824","05/02/23 13:13:26 +611507000 ns","4.611507","01 25 03 18 00 C1","<= Event 1 Status reply","18 00","","","25","","","","","","","",""
"62","4.63317","0.00218667","0.0146813","05/02/23 13:13:26 +633167000 ns","4.633167","01 06","ACK <=","","","","","","","","","","","",""
"63","4.77159","0.00677067","0.136241","05/02/23 13:13:26 +771595000 ns","4.771595","01 26 03 18 00 C2","<= Event 1 Status reply","18 00","","","26","","","","","","","",""
"64","4.79514","0.00218767","0.0167703","05/02/23 13:13:26 +795136000 ns","4.795136","01 06","ACK <=","","","","","","","","","","","",""
"65","4.93252","0.0104107","0.135199","05/02/23 13:13:26 +932523000 ns","4.932523","01 17 05 03 08 31 0C 03 E0","<= Static status reply","","","","17","","","","","","","",""
"66","4.95595","0.00218767","0.0130203","05/02/23 13:13:26 +955954000 ns","4.955954","01 06","ACK <=","","","","","","","","","","","",""
"67","5.08522","0.00677067","0.127074","05/02/23 13:13:27 +85216000 ns","5.085216","01 28 03 18 00 CC","<= Event 1 Status reply","18 00","","","28","","","","","","","",""
"68","5.21083","0.00218667","0.118846","05/02/23 13:13:27 +210833000 ns","5.210833","01 06","ACK <=","","","","","","","","","","","",""
"69","5.29395","0.00677067","0.0809303","05/02/23 13:13:27 +293950000 ns","5.29395","01 28 03 18 00 CC","<= Event 1 Status reply","18 00","","","28","","","","","","","",""
"70","5.40394","0.0106247","0.10322","05/02/23 13:13:27 +403941000 ns","5.403941","01 19 05 03 08 31 0C 03 EE","<= Static status reply","","","","19","","","","","","","",""
"71","5.53289","0.00218767","0.118325","05/02/23 13:13:27 +532891000 ns","5.532891","01 06","ACK <=","","","","","","","","","","","",""
"72","5.54279","0.00677067","0.00770833","05/02/23 13:13:27 +542787000 ns","5.542787","01 2A 03 18 00 CE","<= Event 1 Status reply","18 00","","","2A","","","","","","","",""
"73","5.71173","0.00218767","0.162171","05/02/23 13:13:27 +711729000 ns","5.711729","01 06","ACK <=","","","","","","","","","","","",""
"74","5.72079","0.0105207","0.00687433","05/02/23 13:13:27 +720791000 ns","5.720791","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","","","","1B","","","","","","","",""
"75","5.85453","0.00218667","0.123221","05/02/23 13:13:27 +854533000 ns","5.854533","01 06","ACK <=","","","","","","","","","","","",""
"76","5.86505","0.0104167","0.00833333","05/02/23 13:13:27 +865053000 ns","5.865053","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","","","","1C","","","","","","","",""
