"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.01368","0.00239667","0.01368","05/02/23 13:54:55 +13680000 ns","0.01368","01 06","ACK <=","","","","","","","","","","","",""
"2","0.095548","0.0106247","0.0794713","05/02/23 13:54:55 +95548000 ns","0.095548","01 16 05 03 08 31 0C 03 E1","<= Static status reply","","","","16","","","","","","","",""
"3","0.110131","0.00697867","0.00395833","05/02/23 13:54:55 +110131000 ns","0.110131","01 27 03 18 00 C3","<= Event 1 Status reply","18 00","","","27","","","","","","","",""
"4","0.129193","0.00218067","0.0120833","05/02/23 13:54:55 +129193000 ns","0.129193","01 06","ACK <=","","","","","","","","","","","",""
"5","0.265532","0.0105207","0.134158","05/02/23 13:54:55 +265532000 ns","0.265532","01 18 05 03 08 31 0C 03 EF","<= Static status reply","","","","18","","","","","","","",""
"6","0.385731","0.00218767","0.109678","05/02/23 13:54:55 +385731000 ns","0.385731","01 06","ACK <=","","","","","","","","","","","",""
"7","0.477182","0.0106247","0.0892633","05/02/23 13:54:55 +477182000 ns","0.477182","01 18 05 03 08 31 0C 03 EF","<= Static status reply","","","","18","","","","","","","",""
"8","0.491869","0.00687467","0.00406233","05/02/23 13:54:55 +491869000 ns","0.491869","01 29 03 18 00 CD","<= Event 1 Status reply","18 00","","","29","","","","","","","",""
"9","0.660603","0.00229167","0.161859","05/02/23 13:54:55 +660603000 ns","0.660603","01 06","ACK <=","","","","","","","","","","","",""
"10","0.669978","0.0106247","0.00708333","05/02/23 13:54:55 +669978000 ns","0.669978","01 1A 05 03 08 31 0C 03 ED","<= Static status reply","","","","1A","","","","","","","",""
"11","0.800178","0.00218667","0.119575","05/02/23 13:54:55 +800178000 ns","0.800178","01 06","ACK <=","","","","","","","","","","","",""
"12","0.879024","0.0106247","0.0766593","05/02/23 13:54:55 +879024000 ns","0.879024","01 1A 05 03 08 31 0C 03 ED","<= Static status reply","","","","1A","","","","","","","",""
"13","0.894024","0.00708267","0.00437533","05/02/23 13:54:55 +894024000 ns","0.894024","01 2B 03 18 00 CF","<= Event 1 Status reply","18 00","","","2B","","","","","","","",""
"14","1.06609","0.00260467","0.164984","05/02/23 13:54:56 +66091000 ns","1.066091","01 06","ACK <=","","","","","","","","","","","",""
"15","1.07505","0.0103127","0.00635333","05/02/23 13:54:56 +75049000 ns","1.075049","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","","","","1C","","","","","","","",""
"16","1.20265","0.00260367","0.117283","05/02/23 13:54:56 +202645000 ns","1.202645","01 06","ACK <=","","","","","","","","","","","",""
"17","1.29097","0.0102087","0.0857213","05/02/23 13:54:56 +290970000 ns","1.29097","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","","","","1C","","","","","","","",""
"18","1.30993","0.00677067","0.00874933","05/02/23 13:54:56 +309928000 ns","1.309928","01 2D 03 18 00 C9","<= Event 1 Status reply","18 00","","","2D","","","","","","","",""
"19","1.48158","0.00218167","0.164886","05/02/23 13:54:56 +481585000 ns","1.481585","01 06","ACK <=","","","","","","","","","","","",""
"20","1.49075","0.0102087","0.00697833","05/02/23 13:54:56 +490745000 ns","1.490745","01 1E 05 03 08 31 0C 03 E9","<= Static status reply","","","","1E","","","","","","","",""
"21","1.66938","0.00218667","0.168428","05/02/23 13:54:56 +669382000 ns","1.669382","01 06","ACK <=","","","","","","","","","","","",""
"22","1.67938","0.0104167","0.00781233","05/02/23 13:54:56 +679381000 ns","1.679381","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","","","","1F","","","","","","","",""
"23","1.80145","0.00218667","0.111652","05/02/23 13:54:56 +801450000 ns","1.80145","01 06","ACK <=","","","","","","","","","","","",""
"24","1.8878","0.0105147","0.0841653","05/02/23 13:54:56 +887802000 ns","1.887802","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","","","","1F","","","","","","","",""
"25","1.90498","0.00718767","0.00666633","05/02/23 13:54:56 +904983000 ns","1.904983","01 20 03 18 00 C4","<= Event 1 Status reply","18 00","","","20","","","","","","","",""
"26","1.92821","0.00218767","0.0160413","05/02/23 13:54:56 +928212000 ns","1.928212","01 06","ACK <=","","","","","","","","","","","",""
"27","2.0656","0.00906267","0.135199","05/02/23 13:54:57 +65599000 ns","2.065599","01 11 05 03 41 0C 03 A6","<= Static status reply","","","","11","","","","","","","",""
"28","2.1858","0.00218667","0.111137","05/02/23 13:54:57 +185799000 ns","2.185799","01 06","ACK <=","","","","","","","","","","","",""
"29","2.2736","0.00937467","0.0856173","05/02/23 13:54:57 +273603000 ns","2.273603","01 11 05 03 41 0C 03 A6","<= Static status reply","","","","11","","","","","","","",""
"30","2.29069","0.00718767","0.00770833","05/02/23 13:54:57 +290686000 ns","2.290686","01 22 03 18 00 C6","<= Event 1 Status reply","18 00","","","22","","","","","","","",""
"31","2.40995","0.00218667","0.112075","05/02/23 13:54:57 +409949000 ns","2.409949","01 06","ACK <=","","","","","","","","","","","",""
"32","2.419","0.00916667","0.00686833","05/02/23 13:54:57 +419004000 ns","2.419004","01 13 05 03 61 0C 03 84","<= Static status reply","","","","13","","","","","","","",""
"33","2.56993","0.00218767","0.141762","05/02/23 13:54:57 +569933000 ns","2.569933","01 06","ACK <=","","","","","","","","","","","",""
"34","2.5792","0.00937567","0.00708233","05/02/23 13:54:57 +579203000 ns","2.579203","01 14 05 03 61 0C 03 83","<= Static status reply","","","","14","","","","","","","",""
"35","2.65295","0.00218667","0.0643673","05/02/23 13:54:57 +652946000 ns","2.652946","01 06","ACK <=","","","","","","","","","","","",""
"36","2.66149","0.00697967","0.00635433","05/02/23 13:54:57 +661487000 ns","2.661487","01 25 03 18 00 C1","<= Event 1 Status reply","18 00","","","25","","","","","","","",""
"37","2.7821","0.00218667","0.113637","05/02/23 13:54:57 +782104000 ns","2.782104","01 06","ACK <=","","","","","","","","","","","",""
"38","2.86845","0.00708267","0.0841593","05/02/23 13:54:57 +868450000 ns","2.86845","01 25 03 18 00 C1","<= Event 1 Status reply","18 00","","","25","","","","","","","",""
"39","2.9823","0.00916567","0.106763","05/02/23 13:54:57 +982296000 ns","2.982296","01 16 05 03 61 0C 03 81","<= Static status reply","","","","16","","","","","","","",""
"40","3.10573","0.00218667","0.114263","05/02/23 13:54:58 +105725000 ns","3.105725","01 06","ACK <=","","","","","","","","","","","",""
"41","3.11437","0.00687467","0.00645833","05/02/23 13:54:58 +114370000 ns","3.11437","01 27 03 18 00 C3","<= Event 1 Status reply","18 00","","","27","","","","","","","",""
"42","3.29175","0.00218767","0.170505","05/02/23 13:54:58 +291750000 ns","3.29175","01 06","ACK <=","","","","","","","","","","","",""
"43","3.30279","0.00947967","0.00885333","05/02/23 13:54:58 +302791000 ns","3.302791","01 18 05 03 61 0C 03 8F","<= Static status reply","","","","18","","","","","","","",""
"44","3.45663","0.00218767","0.144359","05/02/23 13:54:58 +456630000 ns","3.45663","01 06","ACK <=","","","","","","","","","","","",""
"45","3.4683","0.00916667","0.00947833","05/02/23 13:54:58 +468296000 ns","3.468296","01 19 05 03 71 0C 03 9E","<= Static status reply","","","","19","","","","","","","",""
"46","3.57016","0.00218767","0.0927003","05/02/23 13:54:58 +570163000 ns","3.570163","01 06","ACK <=","","","","","","","","","","","",""
"47","3.58245","0.00708267","0.0101043","05/02/23 13:54:58 +582455000 ns","3.582455","01 2A 03 18 00 CE","<= Event 1 Status reply","18 00","","","2A","","","","","","","",""
"48","3.70213","0.00218667","0.112596","05/02/23 13:54:58 +702134000 ns","3.702134","01 06","ACK <=","","","","","","","","","","","",""
"49","3.78838","0.00718667","0.0840553","05/02/23 13:54:58 +788376000 ns","3.788376","01 2A 03 18 00 CE","<= Event 1 Status reply","18 00","","","2A","","","","","","","",""
"50","3.90128","0.00677067","0.105721","05/02/23 13:54:58 +901284000 ns","3.901284","01 2B 03 98 10 5F","<= Event 1 Status reply","98 10","Paddles Forced","","2B","","","","","","","",""
"51","3.91847","0.00916667","0.0104163","05/02/23 13:54:58 +918471000 ns","3.918471","01 1C 05 03 71 0C 03 9B","<= Static status reply","","","","1C","","","","","","","",""
"52","3.94087","0.00218667","0.0132293","05/02/23 13:54:58 +940867000 ns","3.940867","01 06","ACK <=","","","","","","","","","","","",""
"53","4.07804","0.00677067","0.134985","05/02/23 13:54:59 +78039000 ns","4.078039","01 2D 03 18 10 D9","<= Event 1 Status reply","18 10","Paddles Forced","","2D","","","","","","","",""
"54","4.19803","0.00218767","0.11322","05/02/23 13:54:59 +198030000 ns","4.19803","01 06","ACK <=","","","","","","","","","","","",""
"55","4.28458","0.00677067","0.0843673","05/02/23 13:54:59 +284585000 ns","4.284585","01 2D 03 18 10 D9","<= Event 1 Status reply","18 10","Paddles Forced","","2D","","","","","","","",""
"56","4.39958","0.00968767","0.10822","05/02/23 13:54:59 +399576000 ns","4.399576","01 1E 05 03 31 0C 03 D9","<= Static status reply","","","","1E","","","","","","","",""
"57","4.53228","0.00218767","0.123012","05/02/23 13:54:59 +532276000 ns","4.532276","01 06","ACK <=","","","","","","","","","","","",""
