"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.102016","0.00218767","0.102016","05/02/23 13:06:19 +102016000 ns","0.102016","01 06","ACK =>","","","","","","","","","","","",""
"2","0.113995","0.00562467","0.00979133","05/02/23 13:06:19 +113995000 ns","0.113995","01 19 02 00 E4","=> Static status query","","","","19","","","","","","","",""
"3","0.159515","0.00218767","0.0398953","05/02/23 13:06:19 +159515000 ns","0.159515","01 06","ACK =>","","","","","","","","","","","",""
"4","0.275034","0.00562467","0.113331","05/02/23 13:06:19 +275034000 ns","0.275034","01 2A 02 00 D7","=> Event 1 Status query","","","","2A","","","","","","","",""
"5","0.390032","0.00218767","0.109373","05/02/23 13:06:19 +390032000 ns","0.390032","01 06","ACK =>","","","","","","","","","","","",""
"6","0.503051","0.00218767","0.110831","05/02/23 13:06:19 +503051000 ns","0.503051","01 06","ACK =>","","","","","","","","","","","",""
"7","0.528467","0.00218767","0.0232283","05/02/23 13:06:19 +528467000 ns","0.528467","01 06","ACK =>","","","","","","","","","","","",""
"8","0.553779","0.00562467","0.0231243","05/02/23 13:06:19 +553779000 ns","0.553779","01 1B 02 00 E6","=> Static status query","","","","1B","","","","","","","",""
"9","0.613049","0.00218767","0.0536453","05/02/23 13:06:19 +613049000 ns","0.613049","01 06","ACK =>","","","","","","","","","","","",""
"10","0.739609","0.00562567","0.124372","05/02/23 13:06:19 +739609000 ns","0.739609","01 1C 02 00 E1","=> Static status query","","","","1C","","","","","","","",""
"11","0.879086","0.00562467","0.133851","05/02/23 13:06:19 +879086000 ns","0.879086","01 2D 02 0A DA","=> Event 1 Status query","","","","2D","","","","","","","",""
"12","0.987105","0.00218767","0.102394","05/02/23 13:06:19 +987105000 ns","0.987105","01 06","ACK =>","","","","","","","","","","","",""
"13","0.99898","0.00562467","0.00968733","05/02/23 13:06:19 +998980000 ns","0.99898","01 1E 02 00 E3","=> Static status query","","","","1E","","","","","","","",""
"14","1.04419","0.00218667","0.0395833","05/02/23 13:06:20 +44188000 ns","1.044188","01 06","ACK =>","","","","","","","","","","","",""
"15","1.1846","0.00218767","0.13822","05/02/23 13:06:20 +184595000 ns","1.184595","01 06","ACK =>","","","","","","","","","","","",""
"16","1.21001","0.00562467","0.0232293","05/02/23 13:06:20 +210012000 ns","1.210012","01 1F 02 00 E2","=> Static status query","","","","1F","","","","","","","",""
"17","1.34313","0.00562567","0.127497","05/02/23 13:06:20 +343134000 ns","1.343134","01 20 02 0A D7","=> Event 1 Status query","","","","20","","","","","","","",""
"18","1.45292","0.00218767","0.104164","05/02/23 13:06:20 +452924000 ns","1.452924","01 06","ACK =>","","","","","","","","","","","",""
"19","1.4649","0.00562467","0.00979133","05/02/23 13:06:20 +464903000 ns","1.464903","01 11 02 00 EC","=> Static status query","","","","11","","","","","","","",""
"20","1.51011","0.00218667","0.0395833","05/02/23 13:06:20 +510111000 ns","1.510111","01 06","ACK =>","","","","","","","","","","","",""
"21","1.64834","0.00218767","0.136039","05/02/23 13:06:20 +648337000 ns","1.648337","01 06","ACK =>","","","","","","","","","","","",""
"22","1.67375","0.00562467","0.0232293","05/02/23 13:06:20 +673754000 ns","1.673754","01 12 02 00 EF","=> Static status query","","","","12","","","","","","","",""
"23","1.81115","0.00562467","0.131768","05/02/23 13:06:20 +811147000 ns","1.811147","01 23 02 0A D4","=> Event 1 Status query","","","","23","","","","","","","",""
"24","1.91896","0.00218767","0.102186","05/02/23 13:06:20 +918958000 ns","1.918958","01 06","ACK =>","","","","","","","","","","","",""
"25","1.93104","0.00562467","0.00989533","05/02/23 13:06:20 +931041000 ns","1.931041","01 14 02 00 E9","=> Static status query","","","","14","","","","","","","",""
"26","1.97604","0.00218767","0.0393743","05/02/23 13:06:20 +976040000 ns","1.97604","01 06","ACK =>","","","","","","","","","","","",""
"27","2.11635","0.00218767","0.138122","05/02/23 13:06:21 +116350000 ns","2.11635","01 06","ACK =>","","","","","","","","","","","",""
"28","2.14166","0.00562567","0.0231243","05/02/23 13:06:21 +141662000 ns","2.141662","01 15 02 00 E8","=> Static status query","","","","15","","","","","","","",""
"29","2.27926","0.00562467","0.13197","05/02/23 13:06:21 +279258000 ns","2.279258","01 26 02 0A D1","=> Event 1 Status query","","","","26","","","","","","","",""
"30","2.38592","0.00218667","0.10104","05/02/23 13:06:21 +385923000 ns","2.385923","01 06","ACK =>","","","","","","","","","","","",""
"31","2.3979","0.00562467","0.00979233","05/02/23 13:06:21 +397902000 ns","2.397902","01 17 02 00 EA","=> Static status query","","","","17","","","","","","","",""
"32","2.44321","0.00218767","0.0396863","05/02/23 13:06:21 +443213000 ns","2.443213","01 06","ACK =>","","","","","","","","","","","",""
"33","2.55915","0.00562467","0.113748","05/02/23 13:06:21 +559149000 ns","2.559149","01 28 02 00 D5","=> Event 1 Status query","","","","28","","","","","","","",""
"34","2.67383","0.00218767","0.10906","05/02/23 13:06:21 +673834000 ns","2.673834","01 06","ACK =>","","","","","","","","","","","",""
"35","2.78717","0.00218767","0.111144","05/02/23 13:06:21 +787166000 ns","2.787166","01 06","ACK =>","","","","","","","","","","","",""
"36","2.81279","0.00218767","0.0234363","05/02/23 13:06:21 +812790000 ns","2.81279","01 06","ACK =>","","","","","","","","","","","",""
"37","2.83831","0.00562467","0.0233333","05/02/23 13:06:21 +838311000 ns","2.838311","01 19 02 00 E4","=> Static status query","","","","19","","","","","","","",""
"38","2.99633","0.00218767","0.152393","05/02/23 13:06:21 +996329000 ns","2.996329","01 06","ACK =>","","","","","","","","","","","",""
"39","3.02185","0.00562567","0.0233323","05/02/23 13:06:22 +21849000 ns","3.021849","01 1A 02 00 E7","=> Static status query","","","","1A","","","","","","","",""
"40","3.15935","0.00562467","0.131872","05/02/23 13:06:22 +159347000 ns","3.159347","01 2B 02 0A DC","=> Event 1 Status query","","","","2B","","","","","","","",""
"41","3.26987","0.00218767","0.104894","05/02/23 13:06:22 +269866000 ns","3.269866","01 06","ACK =>","","","","","","","","","","","",""
"42","3.28195","0.00562467","0.00989533","05/02/23 13:06:22 +281949000 ns","3.281949","01 1C 02 00 E1","=> Static status query","","","","1C","","","","","","","",""
"43","3.32715","0.00218767","0.0395763","05/02/23 13:06:22 +327150000 ns","3.32715","01 06","ACK =>","","","","","","","","","","","",""
"44","3.46861","0.00218767","0.139268","05/02/23 13:06:22 +468606000 ns","3.468606","01 06","ACK =>","","","","","","","","","","","",""
"45","3.49413","0.00562467","0.0233333","05/02/23 13:06:22 +494127000 ns","3.494127","01 1D 02 00 E0","=> Static status query","","","","1D","","","","","","","",""
"46","3.62704","0.00562467","0.127289","05/02/23 13:06:22 +627041000 ns","3.627041","01 2E 02 0A D9","=> Event 1 Status query","","","","2E","","","","","","","",""
"47","3.73693","0.00218767","0.104269","05/02/23 13:06:22 +736935000 ns","3.736935","01 06","ACK =>","","","","","","","","","","","",""
"48","3.74881","0.00562467","0.00968733","05/02/23 13:06:22 +748810000 ns","3.74881","01 1F 02 00 E2","=> Static status query","","","","1F","","","","","","","",""
"49","3.79402","0.00218767","0.0395823","05/02/23 13:06:22 +794017000 ns","3.794017","01 06","ACK =>","","","","","","","","","","","",""
"50","3.93245","0.00218767","0.136247","05/02/23 13:06:22 +932452000 ns","3.932452","01 06","ACK =>","","","","","","","","","","","",""
"51","3.95787","0.00562467","0.0232293","05/02/23 13:06:22 +957869000 ns","3.957869","01 10 02 00 ED","=> Static status query","","","","10","","","","","","","",""
"52","4.0911","0.00562467","0.127602","05/02/23 13:06:23 +91096000 ns","4.091096","01 21 02 0A D6","=> Event 1 Status query","","","","21","","","","","","","",""
